"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.extension","getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.modifierExtension","getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.signatureTime","getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.signatureTime","","","",1,1,"","","","instant {[]} {[]}
","Signeringstidpunkt","Signeringstidpunkt","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.signatureTime",1,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.legalAuthenticatorHSAId","getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.legalAuthenticatorHSAId","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id","HSA-id","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.legalAuthenticatorHSAId",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.legalAuthenticatorName","getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.legalAuthenticatorName","","","",0,1,"","","","string {[]} {[]}
","Namn","Namn","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.legalAuthenticator.legalAuthenticatorName",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.approvedForPatient","getimagingoutcome.imagingOutcome.imagingOutcomeHeader.approvedForPatient","","","",1,1,"","","","boolean {[]} {[]}
","Godkänd för patientvisning","Godkänd för patientvisning","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.approvedForPatient",1,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.careContactId","getimagingoutcome.imagingOutcome.imagingOutcomeHeader.careContactId","","","",0,1,"","","","string {[]} {[]}
","Vårdkontaktid","Vårdkontaktid","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.careContactId",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.nullified","getimagingoutcome.imagingOutcome.imagingOutcomeHeader.nullified","","","",0,1,"","","","boolean {[]} {[]}
","Makulerad","Makulerad","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.nullified",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.nullifiedReason","getimagingoutcome.imagingOutcome.imagingOutcomeHeader.nullifiedReason","","","",0,1,"","","","string {[]} {[]}
","Makuleringsorsak","Makuleringsorsak","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeHeader.nullifiedReason",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody","getimagingoutcome.imagingOutcome.imagingOutcomeBody","","","",1,1,"","","","BackboneElement {[]} {[]}
","Bilddiagnostisk information","Bilddiagnostisk information","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.id","getimagingoutcome.imagingOutcome.imagingOutcomeBody.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.extension","getimagingoutcome.imagingOutcome.imagingOutcomeBody.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.modifierExtension","getimagingoutcome.imagingOutcome.imagingOutcomeBody.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.examinationSpeciality","getimagingoutcome.imagingOutcome.imagingOutcomeBody.examinationSpeciality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Undersökningsspecialitet","Undersökningsspecialitet","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.examinationSpeciality",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.typeOfResult","getimagingoutcome.imagingOutcome.imagingOutcomeBody.typeOfResult","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Typ av resultat","Kodas enligt TypeOfResultCodeEnum. Se QUESTIONS.md ASSUME-003.","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.typeOfResult",1,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.resultTime","getimagingoutcome.imagingOutcome.imagingOutcomeBody.resultTime","","","",1,1,"","","","instant {[]} {[]}
","Resultatets tidpunkt","Resultatets tidpunkt","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.resultTime",1,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.resultReport","getimagingoutcome.imagingOutcome.imagingOutcomeBody.resultReport","","","",1,1,"","","","string {[]} {[]}
","Resultatrapport (fritext)","Resultatrapport (fritext)","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.resultReport",1,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.resultComment","getimagingoutcome.imagingOutcome.imagingOutcomeBody.resultComment","","","",0,1,"","","","string {[]} {[]}
","Kommentar till resultatet","Kommentar till resultatet","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.resultComment",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.radiationDose","getimagingoutcome.imagingOutcome.imagingOutcomeBody.radiationDose","","","",0,*,"","","","Quantity {[]} {[]}
","Stråldos","Stråldos","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.radiationDose",0,*,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData","getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData","","","",0,1,"","","","BackboneElement {[]} {[]}
","Patientdata vid undersökningstillfälle","Patientdata vid undersökningstillfälle","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.id","getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.extension","getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.modifierExtension","getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.patientWeight","getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.patientWeight","","","",0,1,"","","","Quantity {[]} {[]}
","Patientens vikt","Patientens vikt","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.patientWeight",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.patientLength","getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.patientLength","","","",0,1,"","","","Quantity {[]} {[]}
","Patientens längd","Patientens längd","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.patientData.patientLength",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording","","","",0,*,"","","","BackboneElement {[]} {[]}
","Bildtagning","Bildtagning","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.id","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.extension","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.modifierExtension","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.recordingId","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.recordingId","","","",0,1,"","","","Identifier {[]} {[]}
","Bildtagningens id","Bildtagningens id","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.recordingId",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationActivity","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationActivity","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Undersökningsaktivitet","Undersökningsaktivitet","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationActivity",1,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationTimePeriod","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationTimePeriod","","","",1,1,"","","","Period {[]} {[]}
","Undersökningsperiod","Undersökningsperiod","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationTimePeriod",1,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationStatus","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Undersökningsstatus","Undersökningsstatus","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationStatus",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationUnit","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationUnit","","","",0,1,"","","","string {[]} {[]}
","Undersökningsenhet","Undersökningsenhet","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.examinationUnit",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional","","","",0,1,"","","","BackboneElement {[]} {[]}
","Ansvarig personal","Ansvarig personal","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.id","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.extension","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.modifierExtension","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.authorTime","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.authorTime","","","",1,1,"","","","instant {[]} {[]}
","Tidpunkt","Tidpunkt","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.authorTime",1,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalHSAId","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalHSAId","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id","HSA-id","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalHSAId",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalName","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalName","","","",0,1,"","","","string {[]} {[]}
","Namn","Namn","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalName",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalRoleCode","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalRoleCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Yrkesroll","Yrkesroll","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalRoleCode",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalOrgUnit","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalOrgUnit","","","",0,1,"","","","BackboneElement {[]} {[]}
","Org-enhet","Org-enhet","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.accountableHealthcareProfessional.healthcareProfessionalOrgUnit",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.numberOfImages","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.numberOfImages","","","",0,1,"","","","integer {[]} {[]}
","Antal bilder","Antal bilder","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.numberOfImages",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.modalityData","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.modalityData","","","",0,1,"","","","BackboneElement {[]} {[]}
","Modalitetsdata","Modalitetsdata","","","","","","","","","",,,,,"",,,,"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.modalityData",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.modalityData.id","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.modalityData.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.modalityData.extension","getimagingoutcome.imagingOutcome.imagingOutcomeBody.imageRecording.modalityData.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
