"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"registrerahkdbtransaktion-request","registrerahkdbtransaktion-request","","","",0,*,"","","","null {[]} {[]}
","RegistreraHkdbTransaktion — Request","Logisk modell för begäran i RegistreraHkdbTransaktion
(urn:riv:se.apotekensservice:pris:RegistreraHkdbTransaktionResponder:1, RegistreraHkdbTransaktionRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"registrerahkdbtransaktion-request.argosHeader.arbetsplatsnamn","registrerahkdbtransaktion-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.arbetsplatsnamn",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.postort","registrerahkdbtransaktion-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.postort",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.postadress","registrerahkdbtransaktion-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.postadress",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.postnummer","registrerahkdbtransaktion-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.postnummer",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.telefonnummer","registrerahkdbtransaktion-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.telefonnummer",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.requestId","registrerahkdbtransaktion-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.requestId",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.rollnamn","registrerahkdbtransaktion-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.rollnamn",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.hsaID","registrerahkdbtransaktion-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.hsaID",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.katalog","registrerahkdbtransaktion-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.katalog",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.organisationsnummer","registrerahkdbtransaktion-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.organisationsnummer",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.systemnamn","registrerahkdbtransaktion-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.systemnamn",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.systemversion","registrerahkdbtransaktion-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.systemversion",0,1,"",""
"registrerahkdbtransaktion-request.argosHeader.systemIp","registrerahkdbtransaktion-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.argosHeader.systemIp",0,1,"",""
"registrerahkdbtransaktion-request.ackBrutto","registrerahkdbtransaktion-request.ackBrutto","","","",0,1,"","","","decimal {[]} {[]}
","ackBrutto","Om transaktionen avser föregående period skall alltså ackBrutto innehålla FPbrutto i kronor. Om transaktionen avser kommande period skall ackBrutto innehålla motsvarande KPbrutto. I normalfallet används alltså värdet från IPbrutto användas. ackBrutto och periodStart ersätter termerna IPbrutto från version 10.3.0.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.ackBrutto",0,1,"",""
"registrerahkdbtransaktion-request.bruttobelopp","registrerahkdbtransaktion-request.bruttobelopp","","","",1,1,"","","","decimal {[]} {[]}
","bruttobelopp","Transaktionens högkostnadsgrundande bruttobelop i kronor och ören.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.bruttobelopp",1,1,"",""
"registrerahkdbtransaktion-request.expeditionsId","registrerahkdbtransaktion-request.expeditionsId","","","",1,1,"","","","string {[]} {[]}
","expeditionsId","Expeditionens unika id för spårbarhet.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.expeditionsId",1,1,"",""
"registrerahkdbtransaktion-request.ipBrutto","registrerahkdbtransaktion-request.ipBrutto","","","",0,1,"","","","decimal {[]} {[]}
","ipBrutto","Ackumulerat bruttobelopp i högkostnadstrappan för innevarande period i kronor och ören. Används för att verifiera att ingen ny transaktion registrerats för personen efter att högkostnadsfrågan ställts. Skall inte används som indata från och version 10.3.0. Använd periodStart och ackBrutto i stället.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.ipBrutto",0,1,"",""
"registrerahkdbtransaktion-request.klientinformation","registrerahkdbtransaktion-request.klientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","klientinformation","Objekt innehållande information om anropande klientsystem.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.klientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"registrerahkdbtransaktion-request.klientinformation.id","registrerahkdbtransaktion-request.klientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"registrerahkdbtransaktion-request.klientinformation.extension","registrerahkdbtransaktion-request.klientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registrerahkdbtransaktion-request.klientinformation.modifierExtension","registrerahkdbtransaktion-request.klientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registrerahkdbtransaktion-request.klientinformation.anvandare","registrerahkdbtransaktion-request.klientinformation.anvandare","","","",1,1,"","","","string {[]} {[]}
","anvandare","Unikt användarid i anropande system.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.klientinformation.anvandare",1,1,"",""
"registrerahkdbtransaktion-request.klientinformation.session","registrerahkdbtransaktion-request.klientinformation.session","","","",1,1,"","","","string {[]} {[]}
","session","Sessionens id i anropande system.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.klientinformation.session",1,1,"",""
"registrerahkdbtransaktion-request.klientinformation.system","registrerahkdbtransaktion-request.klientinformation.system","","","",1,1,"","","","string {[]} {[]}
","system","GLN-kod för anropande system.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.klientinformation.system",1,1,"",""
"registrerahkdbtransaktion-request.kommentar","registrerahkdbtransaktion-request.kommentar","","","",0,1,"","","","string {[]} {[]}
","kommentar","Kommentar till kreditering.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.kommentar",0,1,"",""
"registrerahkdbtransaktion-request.periodStart","registrerahkdbtransaktion-request.periodStart","","","",0,1,"","","","dateTime {[]} {[]}
","periodStart","Startdatum för den högkostnadsperiod som transaktionen tillhör.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.periodStart",0,1,"",""
"registrerahkdbtransaktion-request.persNr","registrerahkdbtransaktion-request.persNr","","","",1,1,"","","","string {[]} {[]}
","persNr","Personnummer som transaktionen ska registreras för.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.persNr",1,1,"",""
"registrerahkdbtransaktion-request.transId","registrerahkdbtransaktion-request.transId","","","",1,1,"","","","string {[]} {[]}
","transId","Aktörens expeditions-ID.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.transId",1,1,"",""
"registrerahkdbtransaktion-request.transTid","registrerahkdbtransaktion-request.transTid","","","",1,1,"","","","dateTime {[]} {[]}
","transTid","Transaktionstidpunkt.","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.transTid",1,1,"",""
"registrerahkdbtransaktion-request.ursprungligtApoteksaktorsExpeditionsId","registrerahkdbtransaktion-request.ursprungligtApoteksaktorsExpeditionsId","","","",0,1,"","","","string {[]} {[]}
","ursprungligtApoteksaktorsExpeditionsId","Apoteksaktörens ursprungliga expeditionsid, ska anges vid kreditering","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.ursprungligtApoteksaktorsExpeditionsId",0,1,"",""
"registrerahkdbtransaktion-request.ursprungligtExpeditionsId","registrerahkdbtransaktion-request.ursprungligtExpeditionsId","","","",0,1,"","","","string {[]} {[]}
","ursprungligtExpeditionsId","Expeditionens ursprungliga expeditionsid, ska anges vid kreditering","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.ursprungligtExpeditionsId",0,1,"",""
"registrerahkdbtransaktion-request.ursprungligTransTid","registrerahkdbtransaktion-request.ursprungligTransTid","","","",0,1,"","","","dateTime {[]} {[]}
","ursprungligTransTid","Ursprunglig transaktionstidpunkt. Ges vid kreditering. Avser tidpunkten när det ursprungliga köpet gjordes. Används för att avgöra om personen var över eller under 18 år vid köptillfället. Parametern blir obligatorisk i och med att lagen om kostnadsbefrielse för barn under 18 år trätt i kraft. (Refererat element ur RegistreraHkdbTransaktionResponder_1.1_ext.xsd, namnrymd urn:riv:se.apotekensservice:pris:RegistreraHkdbTransaktionResponder:1.1.)","","","","","","","","","",,,,,"",,,,"registrerahkdbtransaktion-request.ursprungligTransTid",0,1,"",""
