"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getformtemplates","getformtemplates","","","",0,*,"","","","null {[]} {[]}
","GetFormTemplates","Logisk modell för svar (response) i tjänstekontraktet GetFormTemplates
(RIV-TA urn:riv:infrastructure:supportservices:forminteraction:GetFormTemplates:2).
Returnerar lista med tillgängliga formulärmallar.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getformtemplates.formTemplate.mandatory","getformtemplates.formTemplate.mandatory","","","",1,1,"","","","boolean {[]} {[]}
","Om formuläret är obligatoriskt för användaren","Om formuläret är obligatoriskt för användaren","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.mandatory",1,1,"",""
"getformtemplates.formTemplate.formLanguage","getformtemplates.formTemplate.formLanguage","","","",1,1,"","","","string {[]} {[]}
","Språkkod enligt SS-ISO 639-1:2005 (t.ex. sv eller en)","Språkkod enligt SS-ISO 639-1:2005 (t.ex. sv eller en)","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.formLanguage",1,1,"",""
"getformtemplates.formTemplate.formTitle","getformtemplates.formTemplate.formTitle","","","",0,1,"","","","string {[]} {[]}
","Mallens/formulärets rubrik","Mallens/formulärets rubrik","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.formTitle",0,1,"",""
"getformtemplates.formTemplate.formName","getformtemplates.formTemplate.formName","","","",1,1,"","","","string {[]} {[]}
","Mallens namn (t.ex. Hälsodeklaration Mödravård)","Mallens namn (t.ex. Hälsodeklaration Mödravård)","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.formName",1,1,"",""
"getformtemplates.formTemplate.description","getformtemplates.formTemplate.description","","","",0,1,"","","","string {[]} {[]}
","Formulärets beskrivning och instruktioner","Formulärets beskrivning och instruktioner","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.description",0,1,"",""
"getformtemplates.formTemplate.informationURL","getformtemplates.formTemplate.informationURL","","","",0,1,"","","","url {[]} {[]}
","URL till ytterligare/relevant information","URL till ytterligare/relevant information","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.informationURL",0,1,"",""
"getformtemplates.formTemplate.term","getformtemplates.formTemplate.term","","","",1,1,"","","","string {[]} {[]}
","Villkor kopplade till formuläret","Villkor kopplade till formuläret","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.term",1,1,"",""
"getformtemplates.formTemplate.maxNumberOfPages","getformtemplates.formTemplate.maxNumberOfPages","","","",1,1,"","","","integer {[]} {[]}
","Maximalt antal sidor i formuläret","Maximalt antal sidor i formuläret","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.maxNumberOfPages",1,1,"",""
"getformtemplates.formTemplate.minNumberOfPages","getformtemplates.formTemplate.minNumberOfPages","","","",1,1,"","","","integer {[]} {[]}
","Minimalt antal sidor i formuläret","Minimalt antal sidor i formuläret","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.minNumberOfPages",1,1,"",""
"getformtemplates.formTemplate.maxNumberOfQuestion","getformtemplates.formTemplate.maxNumberOfQuestion","","","",1,1,"","","","integer {[]} {[]}
","Maximalt antal frågor i formuläret","Maximalt antal frågor i formuläret","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.maxNumberOfQuestion",1,1,"",""
"getformtemplates.formTemplate.minNumberOfQuestion","getformtemplates.formTemplate.minNumberOfQuestion","","","",1,1,"","","","integer {[]} {[]}
","Minimalt antal frågor i formuläret","Minimalt antal frågor i formuläret","","","","","","","","","",,,,,"",,,,"getformtemplates.formTemplate.minNumberOfQuestion",1,1,"",""
