"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"skapadosmottagare-request","skapadosmottagare-request","","","",0,*,"","","","null {[]} {[]}
","SkapaDosmottagare — Request","Logisk modell för begäran i SkapaDosmottagare
(urn:riv:se.apotekensservice:expo:SkapaDosmottagareResponder:4, SkapaDosmottagareRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"skapadosmottagare-request.argosHeader.systemnamn","skapadosmottagare-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.argosHeader.systemnamn",0,1,"",""
"skapadosmottagare-request.argosHeader.systemversion","skapadosmottagare-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.argosHeader.systemversion",0,1,"",""
"skapadosmottagare-request.argosHeader.systemIp","skapadosmottagare-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.argosHeader.systemIp",0,1,"",""
"skapadosmottagare-request.adress","skapadosmottagare-request.adress","","","",0,1,"","","","string {[]} {[]}
","adress","Adress till dosmottagare. Obligatorisk om typ = 'D'.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.adress",0,1,"",""
"skapadosmottagare-request.apoteksIdDosmottagare","skapadosmottagare-request.apoteksIdDosmottagare","","","",0,1,"","","","string {[]} {[]}
","apoteksIdDosmottagare","Apoteks-id för dosmottagare om dosmottagare är av typen apotek.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.apoteksIdDosmottagare",0,1,"",""
"skapadosmottagare-request.apoteksIdDosproducent","skapadosmottagare-request.apoteksIdDosproducent","","","",1,1,"","","","string {[]} {[]}
","apoteksIdDosproducent","Apoteks-id för dosproducent som dosmottagaren ska registreras på.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.apoteksIdDosproducent",1,1,"",""
"skapadosmottagare-request.arbetsplatskod","skapadosmottagare-request.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","Arbetsplatskod till dosmottagare. Är aktuellt om dosmottagare t ex är en distriktsläkarmottagning.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.arbetsplatskod",0,1,"",""
"skapadosmottagare-request.avdelning","skapadosmottagare-request.avdelning","","","",0,1,"","","","string {[]} {[]}
","avdelning","Avdelning inom dosmottagare.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.avdelning",0,1,"",""
"skapadosmottagare-request.dosmottagarId","skapadosmottagare-request.dosmottagarId","","","",1,1,"","","","string {[]} {[]}
","dosmottagarId","Dosmottagarens identitet, dosproducentens identitet för dosmottagaren t ex kundnummer, GLN-kod. Unikt inom dosapoteket.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.dosmottagarId",1,1,"",""
"skapadosmottagare-request.kommunkod","skapadosmottagare-request.kommunkod","","","",0,1,"","","","string {[]} {[]}
","kommunkod","Kommunkod till vilken dosmottagarens tillhör. Kod enligt SCB.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.kommunkod",0,1,"",""
"skapadosmottagare-request.lanskod","skapadosmottagare-request.lanskod","","","",0,1,"","","","string {[]} {[]}
","lanskod","Länskod till vilken dosmottagaren tillhör. Kod enligt SCB.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.lanskod",0,1,"",""
"skapadosmottagare-request.mottagarnamn","skapadosmottagare-request.mottagarnamn","","","",1,1,"","","","string {[]} {[]}
","mottagarnamn","Namn på dosmottagare.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.mottagarnamn",1,1,"",""
"skapadosmottagare-request.postnummer","skapadosmottagare-request.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","Postnummer till dosmottagare.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.postnummer",0,1,"",""
"skapadosmottagare-request.postort","skapadosmottagare-request.postort","","","",0,1,"","","","string {[]} {[]}
","postort","Arbetsplatsort till dosmottagare. Obligatorisk om typ = 'D'.","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.postort",0,1,"",""
"skapadosmottagare-request.typ","skapadosmottagare-request.typ","","","",1,1,"","","","string {[]} {[]}
","typ","Typ av dosmottagare, kan antingen vara Apotek (där dospatienterna kan hämta sina dosleveranser) eller direktleverans, t ex vårdboende, distriktssköterska. Giltiga värden: D (direktleverans) eller A (apotek).","","","","","","","","","",,,,,"",,,,"skapadosmottagare-request.typ",1,1,"",""
