"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"sokdosmottagare-request","sokdosmottagare-request","","","",0,*,"","","","null {[]} {[]}
","SokDosmottagare — Request","Logisk modell för begäran i SokDosmottagare
(urn:riv:se.apotekensservice:expo:SokDosmottagareResponder:1, SokDosmottagareRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"sokdosmottagare-request.argosHeader.befattningskod","sokdosmottagare-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.befattningskod",0,1,"",""
"sokdosmottagare-request.argosHeader.arbetsplatskod","sokdosmottagare-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.arbetsplatskod",0,1,"",""
"sokdosmottagare-request.argosHeader.arbetsplatsnamn","sokdosmottagare-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.arbetsplatsnamn",0,1,"",""
"sokdosmottagare-request.argosHeader.postort","sokdosmottagare-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.postort",0,1,"",""
"sokdosmottagare-request.argosHeader.postadress","sokdosmottagare-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.postadress",0,1,"",""
"sokdosmottagare-request.argosHeader.postnummer","sokdosmottagare-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.postnummer",0,1,"",""
"sokdosmottagare-request.argosHeader.telefonnummer","sokdosmottagare-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.telefonnummer",0,1,"",""
"sokdosmottagare-request.argosHeader.requestId","sokdosmottagare-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.requestId",0,1,"",""
"sokdosmottagare-request.argosHeader.rollnamn","sokdosmottagare-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.rollnamn",0,1,"",""
"sokdosmottagare-request.argosHeader.hsaID","sokdosmottagare-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.hsaID",0,1,"",""
"sokdosmottagare-request.argosHeader.katalog","sokdosmottagare-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.katalog",0,1,"",""
"sokdosmottagare-request.argosHeader.organisationsnummer","sokdosmottagare-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.organisationsnummer",0,1,"",""
"sokdosmottagare-request.argosHeader.systemnamn","sokdosmottagare-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.systemnamn",0,1,"",""
"sokdosmottagare-request.argosHeader.systemversion","sokdosmottagare-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.systemversion",0,1,"",""
"sokdosmottagare-request.argosHeader.systemIp","sokdosmottagare-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.argosHeader.systemIp",0,1,"",""
"sokdosmottagare-request.aktorsnamn","sokdosmottagare-request.aktorsnamn","","","",0,1,"","","","string {[]} {[]}
","aktorsnamn","Aktörens namn. Inledande del av aktörsnamnet kan anges","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.aktorsnamn",0,1,"",""
"sokdosmottagare-request.arbetsplatskod","sokdosmottagare-request.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","Arbetsplatskod. Inledande del av arbetsplatskoden kan anges","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.arbetsplatskod",0,1,"",""
"sokdosmottagare-request.dosproducentsNamn","sokdosmottagare-request.dosproducentsNamn","","","",0,1,"","","","string {[]} {[]}
","dosproducentsNamn","Dosproducentens namn. Inledande del av dosproducentens kan anges","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.dosproducentsNamn",0,1,"",""
"sokdosmottagare-request.kommunkod","sokdosmottagare-request.kommunkod","","","",0,1,"","","","string {[]} {[]}
","kommunkod","Kommunkod till vilken dosmottagaren tillhör. Kod enligt SCB.","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.kommunkod",0,1,"",""
"sokdosmottagare-request.mottagarnamn","sokdosmottagare-request.mottagarnamn","","","",0,1,"","","","string {[]} {[]}
","mottagarnamn","Mottagarens namn. Inledande del av mottagarnamn kan anges","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.mottagarnamn",0,1,"",""
"sokdosmottagare-request.postort","sokdosmottagare-request.postort","","","",0,1,"","","","string {[]} {[]}
","postort","Arbetsplatsort till dosmottagare. Inledande del av arbetsplatsorten kan anges","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.postort",0,1,"",""
"sokdosmottagare-request.typ","sokdosmottagare-request.typ","","","",0,1,"","","","string {[]} {[]}
","typ","Typ av dosmottagare, kan antingen vara Apotek (där dospatienterna kan hämta sina dosleveranser) eller direktleverans, t ex vårdboende, distriktssköterska.","","","","","","","","","",,,,,"",,,,"sokdosmottagare-request.typ",0,1,"",""
