"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"uppdateradosmottagare-request","uppdateradosmottagare-request","","","",0,*,"","","","null {[]} {[]}
","UppdateraDosmottagare — Request","Logisk modell för begäran i UppdateraDosmottagare
(urn:riv:se.apotekensservice:expo:UppdateraDosmottagareResponder:4, UppdateraDosmottagareRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"uppdateradosmottagare-request.argosHeader.befattningskod","uppdateradosmottagare-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.befattningskod",0,1,"",""
"uppdateradosmottagare-request.argosHeader.arbetsplatskod","uppdateradosmottagare-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.arbetsplatskod",0,1,"",""
"uppdateradosmottagare-request.argosHeader.arbetsplatsnamn","uppdateradosmottagare-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.arbetsplatsnamn",0,1,"",""
"uppdateradosmottagare-request.argosHeader.postort","uppdateradosmottagare-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.postort",0,1,"",""
"uppdateradosmottagare-request.argosHeader.postadress","uppdateradosmottagare-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.postadress",0,1,"",""
"uppdateradosmottagare-request.argosHeader.postnummer","uppdateradosmottagare-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.postnummer",0,1,"",""
"uppdateradosmottagare-request.argosHeader.telefonnummer","uppdateradosmottagare-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.telefonnummer",0,1,"",""
"uppdateradosmottagare-request.argosHeader.requestId","uppdateradosmottagare-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.requestId",0,1,"",""
"uppdateradosmottagare-request.argosHeader.rollnamn","uppdateradosmottagare-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.rollnamn",0,1,"",""
"uppdateradosmottagare-request.argosHeader.hsaID","uppdateradosmottagare-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.hsaID",0,1,"",""
"uppdateradosmottagare-request.argosHeader.katalog","uppdateradosmottagare-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.katalog",0,1,"",""
"uppdateradosmottagare-request.argosHeader.organisationsnummer","uppdateradosmottagare-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.organisationsnummer",0,1,"",""
"uppdateradosmottagare-request.argosHeader.systemnamn","uppdateradosmottagare-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.systemnamn",0,1,"",""
"uppdateradosmottagare-request.argosHeader.systemversion","uppdateradosmottagare-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.systemversion",0,1,"",""
"uppdateradosmottagare-request.argosHeader.systemIp","uppdateradosmottagare-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.argosHeader.systemIp",0,1,"",""
"uppdateradosmottagare-request.adress","uppdateradosmottagare-request.adress","","","",0,1,"","","","string {[]} {[]}
","adress","Adress till dosmottagare. Obligatorisk om typ = 'D'.","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.adress",0,1,"",""
"uppdateradosmottagare-request.apoteksIdDosproducent","uppdateradosmottagare-request.apoteksIdDosproducent","","","",1,1,"","","","string {[]} {[]}
","apoteksIdDosproducent","Apoteks-id för dosproducent som dosmottagaren ska registreras på.","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.apoteksIdDosproducent",1,1,"",""
"uppdateradosmottagare-request.arbetsplatskod","uppdateradosmottagare-request.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","Arbetsplatskod till dosmottagare. Är aktuellt om dosmottagare t ex är en distriktsläkarmottagning.","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.arbetsplatskod",0,1,"",""
"uppdateradosmottagare-request.avdelning","uppdateradosmottagare-request.avdelning","","","",0,1,"","","","string {[]} {[]}
","avdelning","Avdelning inom dosmottagare.","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.avdelning",0,1,"",""
"uppdateradosmottagare-request.dosmottagarId","uppdateradosmottagare-request.dosmottagarId","","","",1,1,"","","","string {[]} {[]}
","dosmottagarId","Dosmottagarens identitet, dosproducentens identitet för dosmottagaren t ex kundnummer, GLN-kod. Unikt inom dosapoteket.","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.dosmottagarId",1,1,"",""
"uppdateradosmottagare-request.kommunkod","uppdateradosmottagare-request.kommunkod","","","",0,1,"","","","string {[]} {[]}
","kommunkod","Kommunkod till vilken dosmottagarens tillhör. Kod enligt SCB.","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.kommunkod",0,1,"",""
"uppdateradosmottagare-request.lanskod","uppdateradosmottagare-request.lanskod","","","",0,1,"","","","string {[]} {[]}
","lanskod","Länskod till vilken dosmottagaren tillhör. Kod enligt SCB.","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.lanskod",0,1,"",""
"uppdateradosmottagare-request.mottagarnamn","uppdateradosmottagare-request.mottagarnamn","","","",1,1,"","","","string {[]} {[]}
","mottagarnamn","Namn på dosmottagare.","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.mottagarnamn",1,1,"",""
"uppdateradosmottagare-request.postnummer","uppdateradosmottagare-request.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","Postnummer till dosmottagare.","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.postnummer",0,1,"",""
"uppdateradosmottagare-request.postort","uppdateradosmottagare-request.postort","","","",0,1,"","","","string {[]} {[]}
","postort","Arbetsplatsort till dosmottagare. Obligatorisk om typ = 'D'.","","","","","","","","","",,,,,"",,,,"uppdateradosmottagare-request.postort",0,1,"",""
