"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"skapaapotek","skapaapotek","","","",0,*,"","","","null {[]} {[]}
","SkapaApotek — Response","Logisk modell för svaret i SkapaApotek
(urn:riv:se.apotekensservice:expo:SkapaApotekResponder:6, SkapaApotekResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"skapaapotek.idLista.modifierExtension","skapaapotek.idLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"skapaapotek.idLista.exportId","skapaapotek.idLista.exportId","","","",0,1,"","","","boolean {[]} {[]}
","exportId","Obligatorisk för identitet med glnKod. Måste vara true om eRecept och/eller eReceptDjur är true. ExportId får ej sättas till true för en butikskod (används bara för GLN).","","","","","","","","","",,,,,"",,,,"skapaapotek.idLista.exportId",0,1,"",""
"skapaapotek.idLista.glnKod","skapaapotek.idLista.glnKod","","","",0,1,"","","","string {[]} {[]}
","glnKod","Expeditionsställets GLN-kod Måste sättas på en av identiteterna. Endast en glnkod per expeditionsställe är tillåtet.","","","","","","","","","",,,,,"",,,,"skapaapotek.idLista.glnKod",0,1,"",""
"skapaapotek.kommun","skapaapotek.kommun","","","",1,1,"","","","integer {[]} {[]}
","kommun","Expeditionsställets kommuntillhörighet, kod enligt SCB.","","","","","","","","","",,,,,"",,,,"skapaapotek.kommun",1,1,"",""
"skapaapotek.kortNamn","skapaapotek.kortNamn","","","",0,1,"","","","string {[]} {[]}
","kortNamn","Kortversion på apoteksnamn. Behövs i bla i vårdsystem. Om termen eRecept och/eller eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"skapaapotek.kortNamn",0,1,"",""
"skapaapotek.lan","skapaapotek.lan","","","",1,1,"","","","integer {[]} {[]}
","lan","Expeditionsställets länstillhörighet, kod enligt SCB.","","","","","","","","","",,,,,"",,,,"skapaapotek.lan",1,1,"",""
"skapaapotek.namn","skapaapotek.namn","","","",1,1,"","","","string {[]} {[]}
","namn","Expeditionsställets officiella namn.","","","","","","","","","",,,,,"",,,,"skapaapotek.namn",1,1,"",""
"skapaapotek.oppetHallandeLista","skapaapotek.oppetHallandeLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","oppetHallandeLista","När expeditionsstället har öppet. Måste skickas med vid varje uppdatering. All tidigare öppethållande data raderas innan det nya öppethållande datat läggs in.","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"skapaapotek.oppetHallandeLista.id","skapaapotek.oppetHallandeLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"skapaapotek.oppetHallandeLista.extension","skapaapotek.oppetHallandeLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"skapaapotek.oppetHallandeLista.modifierExtension","skapaapotek.oppetHallandeLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"skapaapotek.oppetHallandeLista.dagBenamning","skapaapotek.oppetHallandeLista.dagBenamning","","","",0,1,"","","","string {[]} {[]}
","dagBenamning","Exempelvis ""Nyårsafton"".","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista.dagBenamning",0,1,"",""
"skapaapotek.oppetHallandeLista.lunchFrom","skapaapotek.oppetHallandeLista.lunchFrom","","","",0,1,"","","","string {[]} {[]}
","lunchFrom","Om lunchstängt, ""stänger för lunch"". Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista.lunchFrom",0,1,"",""
"skapaapotek.oppetHallandeLista.lunchTom","skapaapotek.oppetHallandeLista.lunchTom","","","",0,1,"","","","string {[]} {[]}
","lunchTom","Om lunchstängt, ""Öppnar igen efter lunch kl"". Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista.lunchTom",0,1,"",""
"skapaapotek.oppetHallandeLista.oppnar","skapaapotek.oppetHallandeLista.oppnar","","","",0,1,"","","","string {[]} {[]}
","oppnar","Öppningstid vardagar/vekodagnr. Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista.oppnar",0,1,"",""
"skapaapotek.oppetHallandeLista.slutDatum","skapaapotek.oppetHallandeLista.slutDatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutDatum","Sista dagen i en period vid typ N, P eller S. Obligatorisk vid typ P, S eller D. Om typ D är slutdatum = startdatum.","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista.slutDatum",0,1,"",""
"skapaapotek.oppetHallandeLista.stanger","skapaapotek.oppetHallandeLista.stanger","","","",0,1,"","","","string {[]} {[]}
","stanger","Stängningstid vardagar/vekodagnr. Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista.stanger",0,1,"",""
"skapaapotek.oppetHallandeLista.startDatum","skapaapotek.oppetHallandeLista.startDatum","","","",1,1,"","","","dateTime {[]} {[]}
","startDatum","Första dagen i en period vid typ N, P eller S. Vid typ D anges datum för aktuell dag exv 2010-12-24.","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista.startDatum",1,1,"",""
"skapaapotek.oppetHallandeLista.tfStangtOrsak","skapaapotek.oppetHallandeLista.tfStangtOrsak","","","",0,1,"","","","string {[]} {[]}
","tfStangtOrsak","Orsak till tillfällig stängning.","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista.tfStangtOrsak",0,1,"",""
"skapaapotek.oppetHallandeLista.typ","skapaapotek.oppetHallandeLista.typ","","","",1,1,"","","","string {[]} {[]}
","typ","Typ av öppethållande. N = Normalt P = avvikande under angiven period D = avvikande under angiven dag S = tillfälligt stängt under angiven period","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista.typ",1,1,"",""
"skapaapotek.oppetHallandeLista.veckodagnr","skapaapotek.oppetHallandeLista.veckodagnr","","","",0,1,"","","","string {[]} {[]}
","veckodagnr","Ett nummer för veckodagen 1-7 för Måndag till Söndag, V för vardagar.","","","","","","","","","",,,,,"",,,,"skapaapotek.oppetHallandeLista.veckodagnr",0,1,"",""
"skapaapotek.orgNr","skapaapotek.orgNr","","","",1,1,"","","","string {[]} {[]}
","orgNr","Aktörens organisationsnummer (xs:long i schemat.)","","","","","","","","","",,,,,"",,,,"skapaapotek.orgNr",1,1,"",""
"skapaapotek.orgTypADM","skapaapotek.orgTypADM","","","",1,1,"","","","boolean {[]} {[]}
","orgTypADM","Kod ADM som beskriver typ av expeditionsställe. En organisatiorisk enhet inom ett företag som har rent administrativa uppgifter.","","","","","","","","","",,,,,"",,,,"skapaapotek.orgTypADM",1,1,"",""
"skapaapotek.orgTypDIST","skapaapotek.orgTypDIST","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDIST","Kod DIST som beskriver typ av expeditionsställe. Distansapotek - Större apoteksenhet med ansvar att kunna distribuera apoteksvaror direkt till avtalskunder, apoteksombud eller privatpersoner","","","","","","","","","",,,,,"",,,,"skapaapotek.orgTypDIST",1,1,"",""
"skapaapotek.orgTypDJAP","skapaapotek.orgTypDJAP","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDJAP","Kod DJAP som beskriver typ av expeditionsställe. Ett apotek som har utökat djursortiment.","","","","","","","","","",,,,,"",,,,"skapaapotek.orgTypDJAP",1,1,"",""
"skapaapotek.orgTypDOS","skapaapotek.orgTypDOS","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDOS","Kod DOS som beskriver typ av expeditionsställe. Dosapotek - enhet för produktion av dosdispenserade läkemedel.","","","","","","","","","",,,,,"",,,,"skapaapotek.orgTypDOS",1,1,"",""
"skapaapotek.orgTypEA","skapaapotek.orgTypEA","","","",1,1,"","","","boolean {[]} {[]}
","orgTypEA","Kod EA som beskriver typ av expeditionsställe. Apotek för allmänheten - enhet för detaljhandel med läkemedel med farmaceutisk bemanning under öppethållandet.","","","","","","","","","",,,,,"",,,,"skapaapotek.orgTypEA",1,1,"",""
"skapaapotek.orgTypEH","skapaapotek.orgTypEH","","","",1,1,"","","","boolean {[]} {[]}
","orgTypEH","Kod EH som beskriver typ av expeditionsställe. En enhet som som kan lämna ut e-handel, dit man kan skicka e-handelspacket.","","","","","","","","","",,,,,"",,,,"skapaapotek.orgTypEH",1,1,"",""
"skapaapotek.orgTypGSL","skapaapotek.orgTypGSL","","","",1,1,"","","","boolean {[]} {[]}
","orgTypGSL","Kod GSL som beskriver typ av expeditionsställe. Alla expeditionställen som säljer sortimentet på 80-listan (t ex shopar) ska ha flaggan satt. ""General Sales list"" - även kallad för ""80-listan"", enbart varor som ej är receptbelagda och som ingår i 80-sortimentet. Alla expeditionställen som säljer sortimentet på 80-listan (t ex shopar) ska ha flaggan satt.","","","","","","","","","",,,,,"",,,,"skapaapotek.orgTypGSL",1,1,"",""
"skapaapotek.orgTypSA","skapaapotek.orgTypSA","","","",1,1,"","","","boolean {[]} {[]}
","orgTypSA","Kod SA som beskriver typ av expeditionsställe. Sjukhusapotek - apotek som ger service till slutenvårdsenheter.","","","","","","","","","",,,,,"",,,,"skapaapotek.orgTypSA",1,1,"",""
"skapaapotek.orgTypTILV","skapaapotek.orgTypTILV","","","",1,1,"","","","boolean {[]} {[]}
","orgTypTILV","Kod TILV som beskriver typ av expeditionsställe. Enhet som på beställning tillverkar individanpassade specifika läkemedel.","","","","","","","","","",,,,,"",,,,"skapaapotek.orgTypTILV",1,1,"",""
"skapaapotek.postAdress","skapaapotek.postAdress","","","",1,1,"","","","string {[]} {[]}
","postAdress","Expeditionsställets postAdress.","","","","","","","","","",,,,,"",,,,"skapaapotek.postAdress",1,1,"",""
"skapaapotek.postNr","skapaapotek.postNr","","","",1,1,"","","","string {[]} {[]}
","postNr","Expeditionsställets postNr.","","","","","","","","","",,,,,"",,,,"skapaapotek.postNr",1,1,"",""
"skapaapotek.postort","skapaapotek.postort","","","",1,1,"","","","string {[]} {[]}
","postort","Expeditionsställets postort.","","","","","","","","","",,,,,"",,,,"skapaapotek.postort",1,1,"",""
"skapaapotek.recepturtelefon","skapaapotek.recepturtelefon","","","",0,1,"","","","string {[]} {[]}
","recepturtelefon","Expeditionsställets receptur telefonnummer. Om termen eRecept och/eller eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"skapaapotek.recepturtelefon",0,1,"",""
"skapaapotek.slutDatum","skapaapotek.slutDatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutDatum","Datum för avslut av verksamhet.","","","","","","","","","",,,,,"",,,,"skapaapotek.slutDatum",0,1,"",""
"skapaapotek.startDatum","skapaapotek.startDatum","","","",1,1,"","","","dateTime {[]} {[]}
","startDatum","Datum för start av verksamhet. Det datum som allmänheten kan använda Apoteket.","","","","","","","","","",,,,,"",,,,"skapaapotek.startDatum",1,1,"",""
"skapaapotek.tidigareGlnKod","skapaapotek.tidigareGlnKod","","","",0,1,"","","","string {[]} {[]}
","tidigareGlnKod","Expeditionsställets tidigare ägares GLN.","","","","","","","","","",,,,,"",,,,"skapaapotek.tidigareGlnKod",0,1,"",""
