"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"skapaapotek-request","skapaapotek-request","","","",0,*,"","","","null {[]} {[]}
","SkapaApotek — Request","Logisk modell för begäran i SkapaApotek
(urn:riv:se.apotekensservice:expo:SkapaApotekResponder:6, SkapaApotekRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"skapaapotek-request.argosHeader.befattningskod","skapaapotek-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.befattningskod",0,1,"",""
"skapaapotek-request.argosHeader.arbetsplatskod","skapaapotek-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.arbetsplatskod",0,1,"",""
"skapaapotek-request.argosHeader.arbetsplatsnamn","skapaapotek-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.arbetsplatsnamn",0,1,"",""
"skapaapotek-request.argosHeader.postort","skapaapotek-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.postort",0,1,"",""
"skapaapotek-request.argosHeader.postadress","skapaapotek-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.postadress",0,1,"",""
"skapaapotek-request.argosHeader.postnummer","skapaapotek-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.postnummer",0,1,"",""
"skapaapotek-request.argosHeader.telefonnummer","skapaapotek-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.telefonnummer",0,1,"",""
"skapaapotek-request.argosHeader.requestId","skapaapotek-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.requestId",0,1,"",""
"skapaapotek-request.argosHeader.rollnamn","skapaapotek-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.rollnamn",0,1,"",""
"skapaapotek-request.argosHeader.hsaID","skapaapotek-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.hsaID",0,1,"",""
"skapaapotek-request.argosHeader.katalog","skapaapotek-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.katalog",0,1,"",""
"skapaapotek-request.argosHeader.organisationsnummer","skapaapotek-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.organisationsnummer",0,1,"",""
"skapaapotek-request.argosHeader.systemnamn","skapaapotek-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.systemnamn",0,1,"",""
"skapaapotek-request.argosHeader.systemversion","skapaapotek-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.systemversion",0,1,"",""
"skapaapotek-request.argosHeader.systemIp","skapaapotek-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"skapaapotek-request.argosHeader.systemIp",0,1,"",""
"skapaapotek-request.allmTelefon","skapaapotek-request.allmTelefon","","","",1,1,"","","","string {[]} {[]}
","allmTelefon","Expeditionsställets allmänna telefonnummer.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.allmTelefon",1,1,"",""
"skapaapotek-request.besoksAdress","skapaapotek-request.besoksAdress","","","",1,1,"","","","string {[]} {[]}
","besoksAdress","Expeditionsställets besöksadress.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.besoksAdress",1,1,"",""
"skapaapotek-request.besoksort","skapaapotek-request.besoksort","","","",1,1,"","","","string {[]} {[]}
","besoksort","Expeditionsställets ort (besöksort).","","","","","","","","","",,,,,"",,,,"skapaapotek-request.besoksort",1,1,"",""
"skapaapotek-request.eRecept","skapaapotek-request.eRecept","","","",1,1,"","","","boolean {[]} {[]}
","eRecept","Flagga som anger om expeditionsstället är ett apotek som kan hantera e-recept för besökande privat personer. Om eRecept är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.eRecept",1,1,"",""
"skapaapotek-request.eReceptDjur","skapaapotek-request.eReceptDjur","","","",1,1,"","","","boolean {[]} {[]}
","eReceptDjur","Markering om apoteket kan expediera elektroniska djurrecept eller ej. Om eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.eReceptDjur",1,1,"",""
"skapaapotek-request.faxnummer","skapaapotek-request.faxnummer","","","",0,1,"","","","string {[]} {[]}
","faxnummer","Expeditionsställets faxnummer. Obligatoriskt om huvudorganisationskod = DX eller om Organisationskod = DOS","","","","","","","","","",,,,,"",,,,"skapaapotek-request.faxnummer",0,1,"",""
"skapaapotek-request.huvudOrgTypKod","skapaapotek-request.huvudOrgTypKod","","","",1,1,"","","","string {[]} {[]}
","huvudOrgTypKod","Huvudtypkoden är till stöd för dagens lösning av vårdsystem. På sikt önskar Apotekens Service AB att dessa koder arbetas bort och byts ut mot organisationstypflaggorna (ADM, DIST, DJAP, DOS, EA, EH, GSL, SA, TILV) Möjliga värden: ADM, AP, DIAP, DJUR, DX, OAP, SA, TVAP ADM En organisatiorisk enhet inom ett företag som har rent administrativa uppgifter. AP Apotek för allmänheten - enhet för detaljhandel med läkemedel med farmaceutisk bemanning under öppethållandet. DIAP Distansapotek - Större apoteksenhet med ansvar att kunna distribuera apoteksvaror direkt till avtalskunder, apoteksombud eller privatpersoner DJUR Ett apotek som har utökat djursortiment. DX Dosapotek - enhet för produktion av dosdispenserade läkemedel. OAP Övriga apotek - gammal definition av apotek. Bör ej användas. SA Sjukhusapotek - apotek som ger service till slutenvårdsenheter TVAP Enhet som på beställning tillverkar specifika individanpassade läkemedel.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.huvudOrgTypKod",1,1,"",""
"skapaapotek-request.idLista","skapaapotek-request.idLista","","","",1,*,"","","","BackboneElement {[]} {[]}
","idLista","Lista innehållande en eller flera identifierare för expeditionsstället. En Identitet som ska gälla för ett expeditionsställe kan skickas en eller flera gånger och tas aldrig bort. Vid uppdatering av ett expeditionsställe skickas en eller flera identiteter som identifierare. Obs! GLN-kod måste alltid skickas med.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.idLista",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"skapaapotek-request.idLista.id","skapaapotek-request.idLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"skapaapotek-request.idLista.extension","skapaapotek-request.idLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"skapaapotek-request.idLista.modifierExtension","skapaapotek-request.idLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"skapaapotek-request.idLista.exportId","skapaapotek-request.idLista.exportId","","","",0,1,"","","","boolean {[]} {[]}
","exportId","Obligatorisk för identitet med glnKod. Måste vara true om eRecept och/eller eReceptDjur är true. ExportId får ej sättas till true för en butikskod (används bara för GLN).","","","","","","","","","",,,,,"",,,,"skapaapotek-request.idLista.exportId",0,1,"",""
"skapaapotek-request.idLista.glnKod","skapaapotek-request.idLista.glnKod","","","",0,1,"","","","string {[]} {[]}
","glnKod","Expeditionsställets GLN-kod Måste sättas på en av identiteterna. Endast en glnkod per expeditionsställe är tillåtet.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.idLista.glnKod",0,1,"",""
"skapaapotek-request.kommun","skapaapotek-request.kommun","","","",1,1,"","","","integer {[]} {[]}
","kommun","Expeditionsställets kommuntillhörighet, kod enligt SCB.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.kommun",1,1,"",""
"skapaapotek-request.kortNamn","skapaapotek-request.kortNamn","","","",0,1,"","","","string {[]} {[]}
","kortNamn","Kortversion på apoteksnamn. Behövs i bla i vårdsystem. Om termen eRecept och/eller eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.kortNamn",0,1,"",""
"skapaapotek-request.lan","skapaapotek-request.lan","","","",1,1,"","","","integer {[]} {[]}
","lan","Expeditionsställets länstillhörighet, kod enligt SCB.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.lan",1,1,"",""
"skapaapotek-request.namn","skapaapotek-request.namn","","","",1,1,"","","","string {[]} {[]}
","namn","Expeditionsställets officiella namn.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.namn",1,1,"",""
"skapaapotek-request.oppetHallandeLista","skapaapotek-request.oppetHallandeLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","oppetHallandeLista","När expeditionsstället har öppet. Måste skickas med vid varje uppdatering. All tidigare öppethållande data raderas innan det nya öppethållande datat läggs in.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"skapaapotek-request.oppetHallandeLista.id","skapaapotek-request.oppetHallandeLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"skapaapotek-request.oppetHallandeLista.extension","skapaapotek-request.oppetHallandeLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"skapaapotek-request.oppetHallandeLista.modifierExtension","skapaapotek-request.oppetHallandeLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"skapaapotek-request.oppetHallandeLista.dagBenamning","skapaapotek-request.oppetHallandeLista.dagBenamning","","","",0,1,"","","","string {[]} {[]}
","dagBenamning","Exempelvis ""Nyårsafton"".","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista.dagBenamning",0,1,"",""
"skapaapotek-request.oppetHallandeLista.lunchFrom","skapaapotek-request.oppetHallandeLista.lunchFrom","","","",0,1,"","","","string {[]} {[]}
","lunchFrom","Om lunchstängt, ""stänger för lunch"". Format: HHmm H=Timme (0-23) m=Minut (0-59)","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista.lunchFrom",0,1,"",""
"skapaapotek-request.oppetHallandeLista.lunchTom","skapaapotek-request.oppetHallandeLista.lunchTom","","","",0,1,"","","","string {[]} {[]}
","lunchTom","Om lunchstängt, ""Öppnar igen efter lunch kl"". Format: HHmm H=Timme (0-23) m=Minut (0-59)","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista.lunchTom",0,1,"",""
"skapaapotek-request.oppetHallandeLista.oppnar","skapaapotek-request.oppetHallandeLista.oppnar","","","",0,1,"","","","string {[]} {[]}
","oppnar","Öppningstid vardagar/vekodagnr. Format: HHmm H=Timme (0-23) m=Minut (0-59)","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista.oppnar",0,1,"",""
"skapaapotek-request.oppetHallandeLista.slutDatum","skapaapotek-request.oppetHallandeLista.slutDatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutDatum","Sista dagen i en period vid typ N, P eller S. Obligatorisk vid typ P, S eller D. Om typ D är slutdatum = startdatum.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista.slutDatum",0,1,"",""
"skapaapotek-request.oppetHallandeLista.stanger","skapaapotek-request.oppetHallandeLista.stanger","","","",0,1,"","","","string {[]} {[]}
","stanger","Stängningstid vardagar/vekodagnr. Format: HHmm H=Timme (0-23) m=Minut (0-59)","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista.stanger",0,1,"",""
"skapaapotek-request.oppetHallandeLista.startDatum","skapaapotek-request.oppetHallandeLista.startDatum","","","",1,1,"","","","dateTime {[]} {[]}
","startDatum","Första dagen i en period vid typ N, P eller S. Vid typ D anges datum för aktuell dag exv 2010-12-23.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista.startDatum",1,1,"",""
"skapaapotek-request.oppetHallandeLista.tfStangtOrsak","skapaapotek-request.oppetHallandeLista.tfStangtOrsak","","","",0,1,"","","","string {[]} {[]}
","tfStangtOrsak","Orsak till tillfällig stängning.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista.tfStangtOrsak",0,1,"",""
"skapaapotek-request.oppetHallandeLista.typ","skapaapotek-request.oppetHallandeLista.typ","","","",1,1,"","","","string {[]} {[]}
","typ","Typ av öppethållande. N = Normalt P = avvikande under angiven period D = avvikande under angiven dag S = tillfälligt stängt under angiven period","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista.typ",1,1,"",""
"skapaapotek-request.oppetHallandeLista.veckodagnr","skapaapotek-request.oppetHallandeLista.veckodagnr","","","",0,1,"","","","string {[]} {[]}
","veckodagnr","Ett nummer för veckodagen 1-7 för Måndag till Söndag, V för vardagar.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.oppetHallandeLista.veckodagnr",0,1,"",""
"skapaapotek-request.orgNr","skapaapotek-request.orgNr","","","",1,1,"","","","string {[]} {[]}
","orgNr","Aktörens organisationsnummer (xs:long i schemat.)","","","","","","","","","",,,,,"",,,,"skapaapotek-request.orgNr",1,1,"",""
"skapaapotek-request.orgTypADM","skapaapotek-request.orgTypADM","","","",1,1,"","","","boolean {[]} {[]}
","orgTypADM","Kod ADM som beskriver typ av expeditionsställe. En organisatiorisk enhet inom ett företag som har rent administrativa uppgifter.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.orgTypADM",1,1,"",""
"skapaapotek-request.orgTypDIST","skapaapotek-request.orgTypDIST","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDIST","Kod DIST som beskriver typ av expeditionsställe. Distansapotek - Större apoteksenhet med ansvar att kunna distribuera apoteksvaror direkt till avtalskunder, apoteksombud eller privatpersoner","","","","","","","","","",,,,,"",,,,"skapaapotek-request.orgTypDIST",1,1,"",""
"skapaapotek-request.orgTypDJAP","skapaapotek-request.orgTypDJAP","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDJAP","Kod DJAP som beskriver typ av expeditionsställe. Ett apotek som har utökat djursortiment.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.orgTypDJAP",1,1,"",""
"skapaapotek-request.orgTypDOS","skapaapotek-request.orgTypDOS","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDOS","Kod DOS som beskriver typ av expeditionsställe. Dosapotek - enhet för produktion av dosdispenserade läkemedel.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.orgTypDOS",1,1,"",""
"skapaapotek-request.orgTypEA","skapaapotek-request.orgTypEA","","","",1,1,"","","","boolean {[]} {[]}
","orgTypEA","Kod EA som beskriver typ av expeditionsställe. Apotek för allmänheten - enhet för detaljhandel med läkemedel med farmaceutisk bemanning under öppethållandet.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.orgTypEA",1,1,"",""
"skapaapotek-request.orgTypEH","skapaapotek-request.orgTypEH","","","",1,1,"","","","boolean {[]} {[]}
","orgTypEH","Kod EH som beskriver typ av expeditionsställe. En enhet som som kan lämna ut e-handel, dit man kan skicka e-handelspacket.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.orgTypEH",1,1,"",""
"skapaapotek-request.orgTypGSL","skapaapotek-request.orgTypGSL","","","",1,1,"","","","boolean {[]} {[]}
","orgTypGSL","Kod GSL som beskriver typ av expeditionsställe. Alla expeditionställen som säljer sortimentet på 80-listan (t ex shopar) ska ha flaggan satt. ""General Sales list"" - även kallad för ""80-listan"", enbart varor som ej är receptbelagda och som ingår i 80-sortimentet. Alla expeditionställen som säljer sortimentet på 80-listan (t ex shopar) ska ha flaggan satt.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.orgTypGSL",1,1,"",""
"skapaapotek-request.orgTypSA","skapaapotek-request.orgTypSA","","","",1,1,"","","","boolean {[]} {[]}
","orgTypSA","Kod SA som beskriver typ av expeditionsställe. Sjukhusapotek - apotek som ger service till slutenvårdsenheter.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.orgTypSA",1,1,"",""
"skapaapotek-request.orgTypTILV","skapaapotek-request.orgTypTILV","","","",1,1,"","","","boolean {[]} {[]}
","orgTypTILV","Kod TILV som beskriver typ av expeditionsställe. Enhet som på beställning tillverkar individanpassade specifika läkemedel.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.orgTypTILV",1,1,"",""
"skapaapotek-request.postAdress","skapaapotek-request.postAdress","","","",1,1,"","","","string {[]} {[]}
","postAdress","Expeditionsställets postAdress.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.postAdress",1,1,"",""
"skapaapotek-request.postNr","skapaapotek-request.postNr","","","",1,1,"","","","string {[]} {[]}
","postNr","Expeditionsställets postNr.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.postNr",1,1,"",""
"skapaapotek-request.postort","skapaapotek-request.postort","","","",1,1,"","","","string {[]} {[]}
","postort","Expeditionsställets postort.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.postort",1,1,"",""
"skapaapotek-request.recepturtelefon","skapaapotek-request.recepturtelefon","","","",0,1,"","","","string {[]} {[]}
","recepturtelefon","Expeditionsställets receptur telefonnummer. Om termen eRecept och/eller eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.recepturtelefon",0,1,"",""
"skapaapotek-request.slutDatum","skapaapotek-request.slutDatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutDatum","Datum för avslut av verksamhet.","","","","","","","","","",,,,,"",,,,"skapaapotek-request.slutDatum",0,1,"",""
