"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"uppdateraexpomedapotek-request","uppdateraexpomedapotek-request","","","",0,*,"","","","null {[]} {[]}
","UppdateraExpoMedApotek — Request","Logisk modell för begäran i UppdateraExpoMedApotek
(urn:riv:se.apotekensservice:expo:UppdateraExpoMedApotekResponder:6, UppdateraExpoMedApotekRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"uppdateraexpomedapotek-request.allmTelefon","uppdateraexpomedapotek-request.allmTelefon","","","",1,1,"","","","string {[]} {[]}
","allmTelefon","Expeditionsställets allmänna telefonnummer.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.allmTelefon",1,1,"",""
"uppdateraexpomedapotek-request.besoksAdress","uppdateraexpomedapotek-request.besoksAdress","","","",1,1,"","","","string {[]} {[]}
","besoksAdress","Expeditionsställets besöksadress.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.besoksAdress",1,1,"",""
"uppdateraexpomedapotek-request.besoksort","uppdateraexpomedapotek-request.besoksort","","","",1,1,"","","","string {[]} {[]}
","besoksort","Expeditionsställets ort (besöksort).","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.besoksort",1,1,"",""
"uppdateraexpomedapotek-request.eRecept","uppdateraexpomedapotek-request.eRecept","","","",1,1,"","","","boolean {[]} {[]}
","eRecept","Flagga som anger om expeditionsstället är ett apotek som kan hantera e-recept för besökande privat personer. Om eRecept är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.eRecept",1,1,"",""
"uppdateraexpomedapotek-request.eReceptDjur","uppdateraexpomedapotek-request.eReceptDjur","","","",1,1,"","","","boolean {[]} {[]}
","eReceptDjur","Markering om apoteket kan expediera elektroniska djurrecept eller ej. Om eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.eReceptDjur",1,1,"",""
"uppdateraexpomedapotek-request.faxnummer","uppdateraexpomedapotek-request.faxnummer","","","",0,1,"","","","string {[]} {[]}
","faxnummer","Expeditionsställets faxnummer. Obligatoriskt om huvudorganisationskod = DX eller om Organisationskod = DOS","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.faxnummer",0,1,"",""
"uppdateraexpomedapotek-request.huvudOrgTypKod","uppdateraexpomedapotek-request.huvudOrgTypKod","","","",1,1,"","","","string {[]} {[]}
","huvudOrgTypKod","Huvudtypkoden är till stöd för dagens lösning av vårdsystem. På sikt önskar Apotekens Service AB att dessa koder arbetas bort och byts ut mot organisationstypflaggorna (ADM, DIST, DJAP, DOS, EA, EH, GSL, SA, TILV) Möjliga värden: ADM, AP, DIAP, DJUR, DX, OAP, SA, TVAP ADM En organisatiorisk enhet inom ett företag som har rent administrativa uppgifter. AP Apotek för allmänheten - enhet för detaljhandel med läkemedel med farmaceutisk bemanning under öppethållandet. DIAP Distansapotek - Större apoteksenhet med ansvar att kunna distribuera apoteksvaror direkt till avtalskunder, apoteksombud eller privatpersoner DJUR Ett apotek som har utökat djursortiment. DX Dosapotek - enhet för produktion av dosdispenserade läkemedel. OAP Övriga apotek - gammal definition av apotek. Bör ej användas. SA Sjukhusapotek - apotek som ger service till slutenvårdsenheter TVAP Enhet som på beställning tillverkar specifika individanpassade läkemedel.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.huvudOrgTypKod",1,1,"",""
"uppdateraexpomedapotek-request.idLista","uppdateraexpomedapotek-request.idLista","","","",1,*,"","","","BackboneElement {[]} {[]}
","idLista","Lista innehållande en eller flera identifierare för expeditionsstället. En Identitet som ska gälla för ett expeditionsställe kan skickas en eller flera gånger och tas aldrig bort. Vid uppdatering av ett expeditionsställe skickas en eller flera identiteter som identifierare. Obs! GLN-kod måste alltid skickas med.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.idLista",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"uppdateraexpomedapotek-request.idLista.id","uppdateraexpomedapotek-request.idLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"uppdateraexpomedapotek-request.idLista.extension","uppdateraexpomedapotek-request.idLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"uppdateraexpomedapotek-request.idLista.modifierExtension","uppdateraexpomedapotek-request.idLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"uppdateraexpomedapotek-request.idLista.exportId","uppdateraexpomedapotek-request.idLista.exportId","","","",0,1,"","","","boolean {[]} {[]}
","exportId","Obligatorisk för identitet med glnKod. Måste vara true om eRecept och/eller eReceptDjur är true. ExportId får ej sättas till true för en butikskod (används bara för GLN).","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.idLista.exportId",0,1,"",""
"uppdateraexpomedapotek-request.idLista.glnKod","uppdateraexpomedapotek-request.idLista.glnKod","","","",0,1,"","","","string {[]} {[]}
","glnKod","Expeditionsställets GLN-kod Måste sättas på en av identiteterna. Endast en glnkod per expeditionsställe är tillåtet.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.idLista.glnKod",0,1,"",""
"uppdateraexpomedapotek-request.kommun","uppdateraexpomedapotek-request.kommun","","","",1,1,"","","","integer {[]} {[]}
","kommun","Expeditionsställets kommuntillhörighet, kod enligt SCB.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.kommun",1,1,"",""
"uppdateraexpomedapotek-request.kortNamn","uppdateraexpomedapotek-request.kortNamn","","","",0,1,"","","","string {[]} {[]}
","kortNamn","Kortversion på apoteksnamn. Behövs i bla i vårdsystem. Om termen eRecept och/eller eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.kortNamn",0,1,"",""
"uppdateraexpomedapotek-request.lan","uppdateraexpomedapotek-request.lan","","","",1,1,"","","","integer {[]} {[]}
","lan","Expeditionsställets länstillhörighet, kod enligt SCB.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.lan",1,1,"",""
"uppdateraexpomedapotek-request.namn","uppdateraexpomedapotek-request.namn","","","",1,1,"","","","string {[]} {[]}
","namn","Expeditionsställets officiella namn.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.namn",1,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista","uppdateraexpomedapotek-request.oppetHallandeLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","oppetHallandeLista","När expeditionsstället har öppet. Måste skickas med vid varje uppdatering. All tidigare öppethållande data raderas innan det nya öppethållande datat läggs in.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"uppdateraexpomedapotek-request.oppetHallandeLista.id","uppdateraexpomedapotek-request.oppetHallandeLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista.extension","uppdateraexpomedapotek-request.oppetHallandeLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"uppdateraexpomedapotek-request.oppetHallandeLista.modifierExtension","uppdateraexpomedapotek-request.oppetHallandeLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"uppdateraexpomedapotek-request.oppetHallandeLista.dagBenamning","uppdateraexpomedapotek-request.oppetHallandeLista.dagBenamning","","","",0,1,"","","","string {[]} {[]}
","dagBenamning","Exempelvis ""Nyårsafton"".","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista.dagBenamning",0,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista.lunchFrom","uppdateraexpomedapotek-request.oppetHallandeLista.lunchFrom","","","",0,1,"","","","string {[]} {[]}
","lunchFrom","Om lunchstängt, ""stänger för lunch"". Format: HHmm H=Timme (0-23) m=Minut (0-59)","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista.lunchFrom",0,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista.lunchTom","uppdateraexpomedapotek-request.oppetHallandeLista.lunchTom","","","",0,1,"","","","string {[]} {[]}
","lunchTom","Om lunchstängt, ""Öppnar igen efter lunch kl"". Format: HHmm H=Timme (0-23) m=Minut (0-59)","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista.lunchTom",0,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista.oppnar","uppdateraexpomedapotek-request.oppetHallandeLista.oppnar","","","",0,1,"","","","string {[]} {[]}
","oppnar","Öppningstid vardagar/vekodagnr. Format: HHmm H=Timme (0-23) m=Minut (0-59)","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista.oppnar",0,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista.slutDatum","uppdateraexpomedapotek-request.oppetHallandeLista.slutDatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutDatum","Sista dagen i en period vid typ N, P eller S. Obligatorisk vid typ P, S eller D. Om typ D är slutdatum = startdatum.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista.slutDatum",0,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista.stanger","uppdateraexpomedapotek-request.oppetHallandeLista.stanger","","","",0,1,"","","","string {[]} {[]}
","stanger","Stängningstid vardagar/vekodagnr. Format: HHmm H=Timme (0-23) m=Minut (0-59)","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista.stanger",0,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista.startDatum","uppdateraexpomedapotek-request.oppetHallandeLista.startDatum","","","",1,1,"","","","dateTime {[]} {[]}
","startDatum","Första dagen i en period vid typ N, P eller S. Vid typ D anges datum för aktuell dag exv 2010-12-23.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista.startDatum",1,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista.tfStangtOrsak","uppdateraexpomedapotek-request.oppetHallandeLista.tfStangtOrsak","","","",0,1,"","","","string {[]} {[]}
","tfStangtOrsak","Orsak till tillfällig stängning.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista.tfStangtOrsak",0,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista.typ","uppdateraexpomedapotek-request.oppetHallandeLista.typ","","","",1,1,"","","","string {[]} {[]}
","typ","Typ av öppethållande. N = Normalt P = avvikande under angiven period D = avvikande under angiven dag S = tillfälligt stängt under angiven period","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista.typ",1,1,"",""
"uppdateraexpomedapotek-request.oppetHallandeLista.veckodagnr","uppdateraexpomedapotek-request.oppetHallandeLista.veckodagnr","","","",0,1,"","","","string {[]} {[]}
","veckodagnr","Ett nummer för veckodagen 1-7 för Måndag till Söndag, V för vardagar.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.oppetHallandeLista.veckodagnr",0,1,"",""
"uppdateraexpomedapotek-request.orgNr","uppdateraexpomedapotek-request.orgNr","","","",1,1,"","","","string {[]} {[]}
","orgNr","Aktörens organisationsnummer (xs:long i schemat.)","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.orgNr",1,1,"",""
"uppdateraexpomedapotek-request.orgTypADM","uppdateraexpomedapotek-request.orgTypADM","","","",1,1,"","","","boolean {[]} {[]}
","orgTypADM","Kod ADM som beskriver typ av expeditionsställe. En organisatiorisk enhet inom ett företag som har rent administrativa uppgifter.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.orgTypADM",1,1,"",""
"uppdateraexpomedapotek-request.orgTypDIST","uppdateraexpomedapotek-request.orgTypDIST","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDIST","Kod DIST som beskriver typ av expeditionsställe. Distansapotek - Större apoteksenhet med ansvar att kunna distribuera apoteksvaror direkt till avtalskunder, apoteksombud eller privatpersoner","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.orgTypDIST",1,1,"",""
"uppdateraexpomedapotek-request.orgTypDJAP","uppdateraexpomedapotek-request.orgTypDJAP","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDJAP","Kod DJAP som beskriver typ av expeditionsställe. Ett apotek som har utökat djursortiment.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.orgTypDJAP",1,1,"",""
"uppdateraexpomedapotek-request.orgTypDOS","uppdateraexpomedapotek-request.orgTypDOS","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDOS","Kod DOS som beskriver typ av expeditionsställe. Dosapotek - enhet för produktion av dosdispenserade läkemedel.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.orgTypDOS",1,1,"",""
"uppdateraexpomedapotek-request.orgTypEA","uppdateraexpomedapotek-request.orgTypEA","","","",1,1,"","","","boolean {[]} {[]}
","orgTypEA","Kod EA som beskriver typ av expeditionsställe. Apotek för allmänheten - enhet för detaljhandel med läkemedel med farmaceutisk bemanning under öppethållandet.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.orgTypEA",1,1,"",""
"uppdateraexpomedapotek-request.orgTypEH","uppdateraexpomedapotek-request.orgTypEH","","","",1,1,"","","","boolean {[]} {[]}
","orgTypEH","Kod EH som beskriver typ av expeditionsställe. En enhet som som kan lämna ut e-handel, dit man kan skicka e-handelspacket.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.orgTypEH",1,1,"",""
