"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"uppdateraexpomedapotek","uppdateraexpomedapotek","","","",0,*,"","","","null {[]} {[]}
","UppdateraExpoMedApotek — Response","Logisk modell för svaret i UppdateraExpoMedApotek
(urn:riv:se.apotekensservice:expo:UppdateraExpoMedApotekResponder:6, UppdateraExpoMedApotekResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"uppdateraexpomedapotek.namn","uppdateraexpomedapotek.namn","","","",1,1,"","","","string {[]} {[]}
","namn","Expeditionsställets officiella namn.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.namn",1,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista","uppdateraexpomedapotek.oppetHallandeLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","oppetHallandeLista","När expeditionsstället har öppet. Måste skickas med vid varje uppdatering. All tidigare öppethållande data raderas innan det nya öppethållande datat läggs in.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"uppdateraexpomedapotek.oppetHallandeLista.id","uppdateraexpomedapotek.oppetHallandeLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista.extension","uppdateraexpomedapotek.oppetHallandeLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"uppdateraexpomedapotek.oppetHallandeLista.modifierExtension","uppdateraexpomedapotek.oppetHallandeLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"uppdateraexpomedapotek.oppetHallandeLista.dagBenamning","uppdateraexpomedapotek.oppetHallandeLista.dagBenamning","","","",0,1,"","","","string {[]} {[]}
","dagBenamning","Exempelvis ""Nyårsafton"".","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista.dagBenamning",0,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista.lunchFrom","uppdateraexpomedapotek.oppetHallandeLista.lunchFrom","","","",0,1,"","","","string {[]} {[]}
","lunchFrom","Om lunchstängt, ""stänger för lunch"". Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista.lunchFrom",0,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista.lunchTom","uppdateraexpomedapotek.oppetHallandeLista.lunchTom","","","",0,1,"","","","string {[]} {[]}
","lunchTom","Om lunchstängt, ""Öppnar igen efter lunch kl"". Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista.lunchTom",0,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista.oppnar","uppdateraexpomedapotek.oppetHallandeLista.oppnar","","","",0,1,"","","","string {[]} {[]}
","oppnar","Öppningstid vardagar/vekodagnr. Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista.oppnar",0,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista.slutDatum","uppdateraexpomedapotek.oppetHallandeLista.slutDatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutDatum","Sista dagen i en period vid typ N, P eller S. Obligatorisk vid typ P, S eller D. Om typ D är slutdatum = startdatum.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista.slutDatum",0,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista.stanger","uppdateraexpomedapotek.oppetHallandeLista.stanger","","","",0,1,"","","","string {[]} {[]}
","stanger","Stängningstid vardagar/vekodagnr. Format: HHmm H=Timme (0-24) m=Minut","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista.stanger",0,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista.startDatum","uppdateraexpomedapotek.oppetHallandeLista.startDatum","","","",1,1,"","","","dateTime {[]} {[]}
","startDatum","Första dagen i en period vid typ N, P eller S. Vid typ D anges datum för aktuell dag exv 2010-12-24.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista.startDatum",1,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista.tfStangtOrsak","uppdateraexpomedapotek.oppetHallandeLista.tfStangtOrsak","","","",0,1,"","","","string {[]} {[]}
","tfStangtOrsak","Orsak till tillfällig stängning.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista.tfStangtOrsak",0,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista.typ","uppdateraexpomedapotek.oppetHallandeLista.typ","","","",1,1,"","","","string {[]} {[]}
","typ","Typ av öppethållande. N = Normalt P = avvikande under angiven period D = avvikande under angiven dag S = tillfälligt stängt under angiven period","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista.typ",1,1,"",""
"uppdateraexpomedapotek.oppetHallandeLista.veckodagnr","uppdateraexpomedapotek.oppetHallandeLista.veckodagnr","","","",0,1,"","","","string {[]} {[]}
","veckodagnr","Ett nummer för veckodagen 1-7 för Måndag till Söndag, V för vardagar.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.oppetHallandeLista.veckodagnr",0,1,"",""
"uppdateraexpomedapotek.orgNr","uppdateraexpomedapotek.orgNr","","","",1,1,"","","","string {[]} {[]}
","orgNr","Aktörens organisationsnummer (xs:long i schemat.)","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.orgNr",1,1,"",""
"uppdateraexpomedapotek.orgTypADM","uppdateraexpomedapotek.orgTypADM","","","",1,1,"","","","boolean {[]} {[]}
","orgTypADM","Kod ADM som beskriver typ av expeditionsställe. En organisatiorisk enhet inom ett företag som har rent administrativa uppgifter.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.orgTypADM",1,1,"",""
"uppdateraexpomedapotek.orgTypDIST","uppdateraexpomedapotek.orgTypDIST","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDIST","Kod DIST som beskriver typ av expeditionsställe. Distansapotek - Större apoteksenhet med ansvar att kunna distribuera apoteksvaror direkt till avtalskunder, apoteksombud eller privatpersoner","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.orgTypDIST",1,1,"",""
"uppdateraexpomedapotek.orgTypDJAP","uppdateraexpomedapotek.orgTypDJAP","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDJAP","Kod DJAP som beskriver typ av expeditionsställe. Ett apotek som har utökat djursortiment.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.orgTypDJAP",1,1,"",""
"uppdateraexpomedapotek.orgTypDOS","uppdateraexpomedapotek.orgTypDOS","","","",1,1,"","","","boolean {[]} {[]}
","orgTypDOS","Kod DOS som beskriver typ av expeditionsställe. Dosapotek - enhet för produktion av dosdispenserade läkemedel.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.orgTypDOS",1,1,"",""
"uppdateraexpomedapotek.orgTypEA","uppdateraexpomedapotek.orgTypEA","","","",1,1,"","","","boolean {[]} {[]}
","orgTypEA","Kod EA som beskriver typ av expeditionsställe. Apotek för allmänheten - enhet för detaljhandel med läkemedel med farmaceutisk bemanning under öppethållandet.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.orgTypEA",1,1,"",""
"uppdateraexpomedapotek.orgTypEH","uppdateraexpomedapotek.orgTypEH","","","",1,1,"","","","boolean {[]} {[]}
","orgTypEH","Kod EH som beskriver typ av expeditionsställe. En enhet som som kan lämna ut e-handel, dit man kan skicka e-handelspacket.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.orgTypEH",1,1,"",""
"uppdateraexpomedapotek.orgTypGSL","uppdateraexpomedapotek.orgTypGSL","","","",1,1,"","","","boolean {[]} {[]}
","orgTypGSL","Kod GSL som beskriver typ av expeditionsställe. Alla expeditionställen som säljer sortimentet på 80-listan (t ex shopar) ska ha flaggan satt. ""General Sales list"" - även kallad för ""80-listan"", enbart varor som ej är receptbelagda och som ingår i 80-sortimentet. Alla expeditionställen som säljer sortimentet på 80-listan (t ex shopar) ska ha flaggan satt.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.orgTypGSL",1,1,"",""
"uppdateraexpomedapotek.orgTypSA","uppdateraexpomedapotek.orgTypSA","","","",1,1,"","","","boolean {[]} {[]}
","orgTypSA","Kod SA som beskriver typ av expeditionsställe. Sjukhusapotek - apotek som ger service till slutenvårdsenheter.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.orgTypSA",1,1,"",""
"uppdateraexpomedapotek.orgTypTILV","uppdateraexpomedapotek.orgTypTILV","","","",1,1,"","","","boolean {[]} {[]}
","orgTypTILV","Kod TILV som beskriver typ av expeditionsställe. Enhet som på beställning tillverkar individanpassade specifika läkemedel.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.orgTypTILV",1,1,"",""
"uppdateraexpomedapotek.postAdress","uppdateraexpomedapotek.postAdress","","","",1,1,"","","","string {[]} {[]}
","postAdress","Expeditionsställets postAdress.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.postAdress",1,1,"",""
"uppdateraexpomedapotek.postNr","uppdateraexpomedapotek.postNr","","","",1,1,"","","","string {[]} {[]}
","postNr","Expeditionsställets postNr.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.postNr",1,1,"",""
"uppdateraexpomedapotek.postort","uppdateraexpomedapotek.postort","","","",1,1,"","","","string {[]} {[]}
","postort","Expeditionsställets postort.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.postort",1,1,"",""
"uppdateraexpomedapotek.recepturtelefon","uppdateraexpomedapotek.recepturtelefon","","","",0,1,"","","","string {[]} {[]}
","recepturtelefon","Expeditionsställets receptur telefonnummer. Om termen eRecept och/eller eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.recepturtelefon",0,1,"",""
"uppdateraexpomedapotek.slutDatum","uppdateraexpomedapotek.slutDatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutDatum","Datum för avslut av verksamhet.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.slutDatum",0,1,"",""
"uppdateraexpomedapotek.startDatum","uppdateraexpomedapotek.startDatum","","","",1,1,"","","","dateTime {[]} {[]}
","startDatum","Datum för start av verksamhet. Det datum som allmänheten kan använda Apoteket.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.startDatum",1,1,"",""
"uppdateraexpomedapotek.tidigareGlnKod","uppdateraexpomedapotek.tidigareGlnKod","","","",0,1,"","","","string {[]} {[]}
","tidigareGlnKod","Expeditionsställets tidigare ägares GLN.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.tidigareGlnKod",0,1,"",""
