"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaapoteksinfoeget","hamtaapoteksinfoeget","","","",0,*,"","","","null {[]} {[]}
","HamtaApoteksinfoEget — Response","Logisk modell för svaret i HamtaApoteksinfoEget
(urn:riv:se.apotekensservice:expo:HamtaApoteksinfoEgetResponder:5, HamtaApoteksinfoEgetResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypGSL","hamtaapoteksinfoeget.expeditionsstalleLista.orgTypGSL","","","",1,1,"","","","boolean {[]} {[]}
","orgTypGSL","Kod GSL som beskriver typ av expeditionsställe. Alla expeditionställen som säljer sortimentet på 80-listan (t ex shopar) ska ha flaggan satt. ""General Sales list"" - även kallad för ""80-listan"", enbart varor som ej är receptbelagda och som ingår i 80-sortimentet. Alla expeditionställen som säljer sortimentet på 80-listan (t ex shopar) ska ha flaggan satt.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypGSL",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypSA","hamtaapoteksinfoeget.expeditionsstalleLista.orgTypSA","","","",1,1,"","","","boolean {[]} {[]}
","orgTypSA","Kod SA som beskriver typ av expeditionsställe. Sjukhusapotek - apotek som ger service till slutenvårdsenheter.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypSA",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypTILV","hamtaapoteksinfoeget.expeditionsstalleLista.orgTypTILV","","","",1,1,"","","","boolean {[]} {[]}
","orgTypTILV","Kod TILV som beskriver typ av expeditionsställe. Enhet som på beställning tillverkar individanpassade specifika läkemedel.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.orgTypTILV",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.postAdress","hamtaapoteksinfoeget.expeditionsstalleLista.postAdress","","","",1,1,"","","","string {[]} {[]}
","postAdress","Expeditionsställets postAdress.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.postAdress",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.postNr","hamtaapoteksinfoeget.expeditionsstalleLista.postNr","","","",1,1,"","","","string {[]} {[]}
","postNr","Expeditionsställets postNr.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.postNr",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.postort","hamtaapoteksinfoeget.expeditionsstalleLista.postort","","","",1,1,"","","","string {[]} {[]}
","postort","Expeditionsställets postort.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.postort",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.recepturtelefon","hamtaapoteksinfoeget.expeditionsstalleLista.recepturtelefon","","","",0,1,"","","","string {[]} {[]}
","recepturtelefon","Expeditionsställets receptur telefonnummer.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.recepturtelefon",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.slutDatum","hamtaapoteksinfoeget.expeditionsstalleLista.slutDatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutDatum","Datum för avslut av verksamhet.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.slutDatum",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.startDatum","hamtaapoteksinfoeget.expeditionsstalleLista.startDatum","","","",1,1,"","","","dateTime {[]} {[]}
","startDatum","Datum för start av verksamhet. Det datum som allmänheten kan använda Apoteket.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.startDatum",1,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.statusDate","hamtaapoteksinfoeget.expeditionsstalleLista.statusDate","","","",0,1,"","","","dateTime {[]} {[]}
","statusDate","Expeditionsställets tillståndsstatus ändringsdatum.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.statusDate",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.tidigareGlnKod","hamtaapoteksinfoeget.expeditionsstalleLista.tidigareGlnKod","","","",0,1,"","","","string {[]} {[]}
","tidigareGlnKod","Expeditionsställets tidigare ägares GLN.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.tidigareGlnKod",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.tillstandsstatus","hamtaapoteksinfoeget.expeditionsstalleLista.tillstandsstatus","","","",0,1,"","","","string {[]} {[]}
","tillstandsstatus","Expeditionsställets tillståndsstatus.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.tillstandsstatus",0,1,"",""
"hamtaapoteksinfoeget.expeditionsstalleLista.webbadress","hamtaapoteksinfoeget.expeditionsstalleLista.webbadress","","","",0,1,"","","","string {[]} {[]}
","webbadress","Webbadress till apotekets webbtjänster. Apotekens Service använder adressen för att skicka notifieringsmeddelanden. Används endast av dosproducenter.","","","","","","","","","",,,,,"",,,,"hamtaapoteksinfoeget.expeditionsstalleLista.webbadress",0,1,"",""
