"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaickeaktuellaordinationer","hamtaickeaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaIckeAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaIckeAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaIckeAktuellaOrdinationerResponder:6, HamtaIckeAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.dispenseringsregler.insattningstidpunkt","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.dispenseringsregler.insattningstidpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","insattningstidpunkt","Datum när patienten skall påbörja intag.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.dispenseringsregler.insattningstidpunkt",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.dispenseringsregler.sistaGiltighetsdag","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.dispenseringsregler.sistaGiltighetsdag","","","",0,1,"","","","dateTime {[]} {[]}
","sistaGiltighetsdag","Ordinationens sista giltighetsdag.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.dispenseringsregler.sistaGiltighetsdag",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema","","","",0,1,"","","","BackboneElement {[]} {[]}
","doseringsschema","Information om intag. Valfritt för stående, obligatorisk dispenserad ordination, får ej anges för vid behov.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle","","","",1,*,"","","","BackboneElement {[]} {[]}
","intagstillfalle","Beskriver tid och mängd för intag av läkemedel.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.dagIPeriod","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.dagIPeriod","","","",1,1,"","","","integer {[]} {[]}
","dagIPeriod","Dag i perioden när intag skall göras. Exempel: Intag ska ske varje måndag och onsdag och startdatum är på en måndag. Måndag Insättningsdatum = 2010-01-01, Periodlängd=7, Dag i period= 1. Onsdag Insättningsdatum = 2010-01-01, Periodlängd=7, Dag i period=3.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.dagIPeriod",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.intagsmangd","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.intagsmangd","","","",0,1,"","","","decimal {[]} {[]}
","intagsmangd","Intagsmängd per tillfälle. Null hanteras som enligt ordination.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.intagsmangd",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.intagstillfalle","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.intagstillfalle","","","",1,1,"","","","integer {[]} {[]}
","intagstillfalle","Klockslag när patienten ska inta medicinering.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.intagstillfalle.intagstillfalle",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.periodlangd","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.periodlangd","","","",1,1,"","","","integer {[]} {[]}
","periodlangd","Antal dagar som dosering skall gälla. Vid regelbunden dosering anges periodlängd = 1 Vid oregelbunden dosering anges antal dagar som intervallet omfattar. Exempelvis 2 om intag ska ske varannan dag.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.doseringsschema.periodlangd",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring","","","",0,1,"","","","BackboneElement {[]} {[]}
","forandring","Information om eventuell historikskapande händelse (förändring). Endast en typ av historikskapande-information (makluering, förändring eller utsättning) kan förekomma.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal","","","",0,1,"","","","BackboneElement {[]} {[]}
","apotekspersonal","Apotekspersonal.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.anvandarId","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.anvandarId","","","",0,1,"","","","string {[]} {[]}
","anvandarId","Användar-id för farmaceut (legitimationskod) eller apotekspersonal (för- och efternamn) som uppdaterar en ordination. Användar-id är en övergångslösning fram tills alla apoteksaktörer har övergått till ORG-gränssnittet.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.anvandarId",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.apoteksId","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.apoteksId","","","",1,1,"","","","string {[]} {[]}
","apoteksId","Apoteks-id är en unik kod som definierar ett specifikt apotek tillhörande en specifik juridisk ägare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.apoteksId",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.befattningskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","Användarens befattningskod enligt HSA.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.befattningskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.efternamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Användarens efternamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.efternamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.fornamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Användarens förnamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.fornamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.legitimationskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","Förskrivares 7-ställiga förskrivarkod alternativt legitimerad användares 6-ställiga legitimationskod enligt Socialstyrelsen. Obligatorisk för gruppförskrivare (ej läkare) och för farmaceuter.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.legitimationskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.yrkeskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.yrkeskod","","","",0,1,"","","","string {[]} {[]}
","yrkeskod","Användarens yrkeskod som definierar vilken typ av legitimation som användaren innehar. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.apotekspersonal.yrkeskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator","","","",0,1,"","","","BackboneElement {[]} {[]}
","forandrandeOrdinator","Förandrande Ordinatör.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.arbetsplatskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.arbetsplatskod","","","",1,1,"","","","string {[]} {[]}
","arbetsplatskod","Unik kod för identifiering av förskrivarens arbetsplats vid ordinationstillfället. Saknar förskrivare ordinarie arbetsplats anges en grupparbetsplatskod. Arbetsplatskoden anges för att styra ekonomiska transaktioner vid ordinationer inom förmånen.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.arbetsplatskod",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.befattningskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","Användarens befattningskod enligt HSA.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.befattningskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.efternamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Användarens efternamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.efternamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.fornamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Användarens förnamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.fornamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.forskrivarkod","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","forskrivarkod","Förskrivarens individuella 7-ställiga legitimationskod eller förskrivarens gruppförskrivarkod då individuell kod saknas. Gruppförskrivarkod används då förskrivaren saknar individuell förskrivarkod men har via sin roll erhållit förskrivningsrätt. Kan exempelvis vara en AT-läkare eller förskrivare med förordnande. Förskrivarkoden definieras av Socialstyrelsen och gruppförskrivarkoden definieras av eHälsomyndigheten.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.forskrivarkod",0,1,"",""
