"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaaktuellaordinationer","hamtaaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaAktuellaOrdinationerResponder:5, HamtaAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsNamn","hamtaaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsNamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsNamn","ArbetsplatsNamn","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsNamn",0,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsOrt","hamtaaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsOrt","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsOrt","ArbetsplatsOrt","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.arbetsplatsOrt",0,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.arbetsplatskod","hamtaaktuellaordinationer.arbetsplatsInfoLista.arbetsplatskod","","","",1,1,"","","","string {[]} {[]}
","arbetsplatskod","Arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.arbetsplatskod",1,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.faxnummer","hamtaaktuellaordinationer.arbetsplatsInfoLista.faxnummer","","","",0,1,"","","","string {[]} {[]}
","faxnummer","Faxnummer","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.faxnummer",0,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.giltigSlut","hamtaaktuellaordinationer.arbetsplatsInfoLista.giltigSlut","","","",0,1,"","","","dateTime {[]} {[]}
","giltigSlut","Slutdatum för arbetsplatsens giltighetsperiod.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.giltigSlut",0,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.giltigStart","hamtaaktuellaordinationer.arbetsplatsInfoLista.giltigStart","","","",0,1,"","","","dateTime {[]} {[]}
","giltigStart","Startdatum för arbetsplatsens giltighetsperiod.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.giltigStart",0,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.postadress","hamtaaktuellaordinationer.arbetsplatsInfoLista.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","Postadress","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.postadress",0,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.postnummer","hamtaaktuellaordinationer.arbetsplatsInfoLista.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","Postnummer","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.postnummer",0,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.registrerad","hamtaaktuellaordinationer.arbetsplatsInfoLista.registrerad","","","",1,1,"","","","boolean {[]} {[]}
","registrerad","Anger om arbetsplatsen finns registrerad i ARKO. Om false så saknar alla fält utom arbetsplatskod värden.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.registrerad",1,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.telefonnummer1","hamtaaktuellaordinationer.arbetsplatsInfoLista.telefonnummer1","","","",0,1,"","","","string {[]} {[]}
","telefonnummer1","Telefonnummer 1","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.telefonnummer1",0,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.telefonnummer2","hamtaaktuellaordinationer.arbetsplatsInfoLista.telefonnummer2","","","",0,1,"","","","string {[]} {[]}
","telefonnummer2","Telefonnummer 2","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista.telefonnummer2",0,1,"",""
"hamtaaktuellaordinationer.artikelLista","hamtaaktuellaordinationer.artikelLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","artikelLista","Lista med artikelinformation för de varor som ingår i ordinationerna.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.artikelLista.id","hamtaaktuellaordinationer.artikelLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.extension","hamtaaktuellaordinationer.artikelLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.artikelLista.modifierExtension","hamtaaktuellaordinationer.artikelLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.artikelLista.alternativtAntalKlartext","hamtaaktuellaordinationer.artikelLista.alternativtAntalKlartext","","","",0,1,"","","","string {[]} {[]}
","alternativtAntalKlartext","Sammanslagning av multiplar, antal och alternativ enhet. Om alternativ enhet saknas för artikeln är detta fält tomt.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.alternativtAntalKlartext",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.antalKlartext","hamtaaktuellaordinationer.artikelLista.antalKlartext","","","",0,1,"","","","string {[]} {[]}
","antalKlartext","Sammanslagning av multiplar, antal och enhet på storleken.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.antalKlartext",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.artikelbenamning","hamtaaktuellaordinationer.artikelLista.artikelbenamning","","","",0,1,"","","","string {[]} {[]}
","artikelbenamning","Sammanfattande beskrivning på en artikel (läkemedelsnamn + läkemedelsform + styrka + styrkans enhet + företag vid behov) Förkortningar kan förekomma.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.artikelbenamning",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.atcKlartext","hamtaaktuellaordinationer.artikelLista.atcKlartext","","","",0,1,"","","","string {[]} {[]}
","atcKlartext","ATC-kod i klartext enligt lexikontabell. Språk anges på svenska (sv).","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.atcKlartext",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.atcKod","hamtaaktuellaordinationer.artikelLista.atcKod","","","",0,1,"","","","string {[]} {[]}
","atcKod","ATC-kod","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.atcKod",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.avregistreringsdatum","hamtaaktuellaordinationer.artikelLista.avregistreringsdatum","","","",0,1,"","","","dateTime {[]} {[]}
","avregistreringsdatum","Datum då artikeln blev avregistrerad.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.avregistreringsdatum",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.bestallningsstoppad","hamtaaktuellaordinationer.artikelLista.bestallningsstoppad","","","",0,1,"","","","boolean {[]} {[]}
","bestallningsstoppad","Markering om artikel enligt TLV är beställningsstoppad i gällande prisperiod.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.bestallningsstoppad",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.foregaendePrisperiodensvara","hamtaaktuellaordinationer.artikelLista.foregaendePrisperiodensvara","","","",0,1,"","","","boolean {[]} {[]}
","foregaendePrisperiodensvara","Markering som anger om artikeln var definierad som föregående prisperiodens vara.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.foregaendePrisperiodensvara",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.formansberattigad","hamtaaktuellaordinationer.artikelLista.formansberattigad","","","",0,1,"","","","boolean {[]} {[]}
","formansberattigad","Markering som visar om artikeln är förmånsberättigad enligt VARA, vilket beslutas av TLV.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.formansberattigad",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.forpackningsenhet","hamtaaktuellaordinationer.artikelLista.forpackningsenhet","","","",0,1,"","","","string {[]} {[]}
","forpackningsenhet","Enhet på förpackningsstorleken, i klartext. Returnerar den alternativa enheten om sådan finns angiven för artikeln. Språk anges på svenska (sv).","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.forpackningsenhet",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.forpackningsinnehall","hamtaaktuellaordinationer.artikelLista.forpackningsinnehall","","","",0,1,"","","","string {[]} {[]}
","forpackningsinnehall","Beskrivning av förpackning, innehåll och antal.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.forpackningsinnehall",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.forpackningsmangd","hamtaaktuellaordinationer.artikelLista.forpackningsmangd","","","",0,1,"","","","decimal {[]} {[]}
","forpackningsmangd","Totala mängden i förpackningen. Returnerar den alternativa förpackningsmängden om sådan finns angiven för artikeln.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.forpackningsmangd",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.forpackningstyp","hamtaaktuellaordinationer.artikelLista.forpackningstyp","","","",0,1,"","","","string {[]} {[]}
","forpackningstyp","Beskrivning av förpackningstyp för en artikel.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.forpackningstyp",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.forsaljningsstoppad","hamtaaktuellaordinationer.artikelLista.forsaljningsstoppad","","","",0,1,"","","","boolean {[]} {[]}
","forsaljningsstoppad","Markering som visar om artikeln inte längre får försäljas. Sant om antingen artikeln eller produkten är försäljningsstoppad.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.forsaljningsstoppad",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.forskrivningsratter","hamtaaktuellaordinationer.artikelLista.forskrivningsratter","","","",0,*,"","","","string {[]} {[]}
","forskrivningsratter","Lista med förskrivningsrätter för artikeln. Använder koder enligt NPL.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.forskrivningsratter",0,*,"",""
"hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken","hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken","","","",0,*,"","","","BackboneElement {[]} {[]}
","forskrivningsrattsyrken","Lista med yrken som har förskrivningsrätt för artikeln. Listan utvinns ur förskrivningsrättskoderna, översätts till tvåställiga yrkeskoder och klartexter. Varje yrke finns max en gång i listan.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.id","hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.extension","hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.modifierExtension","hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKod","hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKod","","","",1,1,"","","","string {[]} {[]}
","yrkesKod","Yrkeskod för utfärdarkategori.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKod",1,1,"",""
"hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKodKlartext","hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKodKlartext","","","",1,1,"","","","string {[]} {[]}
","yrkesKodKlartext","Yrkeskod för utfärdarkategori, klartext.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKodKlartext",1,1,"",""
