"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaickeaktuellaordinationer-request","hamtaickeaktuellaordinationer-request","","","",0,*,"","","","null {[]} {[]}
","HamtaIckeAktuellaOrdinationer — Request","Logisk modell för begäran i HamtaIckeAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaIckeAktuellaOrdinationerResponder:6, HamtaIckeAktuellaOrdinationerRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.befattningskod","hamtaickeaktuellaordinationer-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.befattningskod",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.arbetsplatskod","hamtaickeaktuellaordinationer-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.arbetsplatskod",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.arbetsplatsnamn","hamtaickeaktuellaordinationer-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.arbetsplatsnamn",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.postort","hamtaickeaktuellaordinationer-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.postort",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.postadress","hamtaickeaktuellaordinationer-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.postadress",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.postnummer","hamtaickeaktuellaordinationer-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.postnummer",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.telefonnummer","hamtaickeaktuellaordinationer-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.telefonnummer",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.requestId","hamtaickeaktuellaordinationer-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.requestId",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.rollnamn","hamtaickeaktuellaordinationer-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.rollnamn",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.directoryID","hamtaickeaktuellaordinationer-request.argosHeader.directoryID","","","",0,1,"","","","string {[]} {[]}
","directoryID","directoryID","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.directoryID",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.hsaID","hamtaickeaktuellaordinationer-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.hsaID",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.katalog","hamtaickeaktuellaordinationer-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.katalog",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.organisationsnummer","hamtaickeaktuellaordinationer-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.organisationsnummer",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.systemnamn","hamtaickeaktuellaordinationer-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.systemnamn",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.systemversion","hamtaickeaktuellaordinationer-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.systemversion",0,1,"",""
"hamtaickeaktuellaordinationer-request.argosHeader.systemIp","hamtaickeaktuellaordinationer-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.argosHeader.systemIp",0,1,"",""
"hamtaickeaktuellaordinationer-request.fromDatum","hamtaickeaktuellaordinationer-request.fromDatum","","","",0,1,"","","","dateTime {[]} {[]}
","fromDatum","Från och med datum för perioden som ska visas.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.fromDatum",0,1,"",""
"hamtaickeaktuellaordinationer-request.personnummer","hamtaickeaktuellaordinationer-request.personnummer","","","",1,1,"","","","string {[]} {[]}
","personnummer","Giltigt personnummer för patient.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.personnummer",1,1,"",""
"hamtaickeaktuellaordinationer-request.ordinationsId","hamtaickeaktuellaordinationer-request.ordinationsId","","","",0,1,"","","","string {[]} {[]}
","ordinationsId","OrdinationsId. Anges om bara en ordination ska returneras.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.ordinationsId",0,1,"",""
"hamtaickeaktuellaordinationer-request.grupplegitimationskod","hamtaickeaktuellaordinationer-request.grupplegitimationskod","","","",0,1,"","","","string {[]} {[]}
","grupplegitimationskod","Användarens 6-ställiga grupplegitimationskod. Obligatorisk för Apotekselev, receptarieelev, Teknikerelev och Europeisk farmaceut.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.grupplegitimationskod",0,1,"",""
"hamtaickeaktuellaordinationer-request.gruppforskrivarkod","hamtaickeaktuellaordinationer-request.gruppforskrivarkod","","","",0,1,"","","","string {[]} {[]}
","gruppforskrivarkod","Gruppförskrivarkod används då förskrivaren saknar individuell förskrivarkod men har via sin roll erhållit förskrivningsrätt. Kan exempelvis vara en AT-läkare eller förskrivare med förordnande. Förskrivarkoden definieras av Socialstyrelsen och gruppförskrivarkoden definieras av eHälsomyndigheten.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer-request.gruppforskrivarkod",0,1,"",""
