"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtapatientinfo-request","hamtapatientinfo-request","hamtapatientinfo-request","","","",0,*,"","","","null {[]} {[]}
","HamtaPatientInfo — Request","Logisk modell för begäran i HamtaPatientInfo
(urn:riv:se.apotekensservice:axs:HamtaPatientInfoResponder:6, HamtaPatientInfoRequestType),
inklusive de två SOAP-huvuden som WSDL:en kräver (LogicalAddress och ArgosHeader).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.befattningskod","hamtapatientinfo-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","Befattningskod","Befattningskod.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.befattningskod",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.arbetsplatskod","hamtapatientinfo-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","Arbetsplatskod","Arbetsplatskod.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.arbetsplatskod",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.arbetsplatsnamn","hamtapatientinfo-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","Arbetsplatsnamn","Arbetsplatsnamn.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.arbetsplatsnamn",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.postort","hamtapatientinfo-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","Postort","Postort.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.postort",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.postadress","hamtapatientinfo-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","Postadress","Postadress.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.postadress",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.postnummer","hamtapatientinfo-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","Postnummer","Postnummer.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.postnummer",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.telefonnummer","hamtapatientinfo-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","Telefonnummer","Telefonnummer.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.telefonnummer",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.requestId","hamtapatientinfo-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","Anrops-id","Anropets identitet.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.requestId",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.rollnamn","hamtapatientinfo-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","Rollnamn","Rollnamn.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.rollnamn",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.hsaID","hamtapatientinfo-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","HSA-id","Användarens HSA-id.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.hsaID",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.katalog","hamtapatientinfo-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","Katalog","Katalog.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.katalog",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.organisationsnummer","hamtapatientinfo-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","Organisationsnummer","Organisationsnummer.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.organisationsnummer",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.systemnamn","hamtapatientinfo-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","Systemnamn","Anropande systems namn.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.systemnamn",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.systemversion","hamtapatientinfo-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","Systemversion","Anropande systems version.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.systemversion",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.argosHeader.systemIp","hamtapatientinfo-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","System-IP","Anropande systems IP-adress.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.argosHeader.systemIp",0,1,"",""
"hamtapatientinfo-request","hamtapatientinfo-request.personnummer","hamtapatientinfo-request.personnummer","","","",1,1,"","","","string {[]} {[]}
","Personnummer","Giltigt personnummer för patient. Typen är xs:string i schemat (inte PersonIdType).","","","","","","","","","",,,,,"",,,,"hamtapatientinfo-request.personnummer",1,1,"",""
"hamtapatientinfo","hamtapatientinfo","hamtapatientinfo","","","",0,*,"","","","null {[]} {[]}
","HamtaPatientInfo — Response","Logisk modell för svaret i HamtaPatientInfo
(urn:riv:se.apotekensservice:axs:HamtaPatientInfoResponder:6, HamtaPatientInfoResponseType).
Svaret samlar information om patienten från eHälsomyndighetens system: eventuellt dosapotek (EXPO),
dosproducent, dosunderlagets status, om det finns aktuella recept i RDH, samt folkbokförings- och samtyckesinformation (FOLK).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtapatientinfo","hamtapatientinfo.apotek","hamtapatientinfo.apotek","","","",0,1,"","","","BackboneElement {[]} {[]}
","Dosapotek","Ev. DOS-apotek som kunden är kopplad till. Om anrop mot underliggande system (FOLK, OR eller EXPO) misslyckas så lämnas fältet tomt. (se.apotekensservice:axs:4 ApoteksinformationResponse)","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek",0,1,"","hamtapatientinfo-apotek-oregistrerat:Om apoteket inte finns registrerat i EXPO (registrerad = false) saknar alla fält utom glnKod värden {registrerad = false implies (aktorsnamn.empty() and aktorsorgnr.empty() and allmantelefon.empty() and besoksadress.empty() and fax.empty() and huvudtypkod.empty() and namn.empty() and ort.empty() and slutdatum.empty() and startdatum.empty())}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}"
"hamtapatientinfo","hamtapatientinfo.apotek.id","hamtapatientinfo.apotek.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.extension","hamtapatientinfo.apotek.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtapatientinfo","hamtapatientinfo.apotek.modifierExtension","hamtapatientinfo.apotek.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtapatientinfo","hamtapatientinfo.apotek.aktorsnamn","hamtapatientinfo.apotek.aktorsnamn","","","",0,1,"","","","string {[]} {[]}
","Aktörsnamn","Aktörsnamn.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.aktorsnamn",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.aktorsorgnr","hamtapatientinfo.apotek.aktorsorgnr","","","",0,1,"","","","string {[]} {[]}
","Aktörens organisationsnummer","Aktörens organisationsnummer. xs:long i schemat.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.aktorsorgnr",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.allmantelefon","hamtapatientinfo.apotek.allmantelefon","","","",0,1,"","","","string {[]} {[]}
","Allmäntelefon","Allmäntelefon.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.allmantelefon",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.besoksadress","hamtapatientinfo.apotek.besoksadress","","","",0,1,"","","","string {[]} {[]}
","Besöksadress","Expeditionsställets besöksadress.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.besoksadress",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.eReceptDjur","hamtapatientinfo.apotek.eReceptDjur","","","",1,1,"","","","boolean {[]} {[]}
","E-recept för djur","Anger om apoteket expedierar e-recept för djur.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.eReceptDjur",1,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.fax","hamtapatientinfo.apotek.fax","","","",0,1,"","","","string {[]} {[]}
","Fax","Fax.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.fax",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.glnKod","hamtapatientinfo.apotek.glnKod","","","",1,1,"","","","string {[]} {[]}
","GLN-kod","Apotekets GLN-kod.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.glnKod",1,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.huvudtypkod","hamtapatientinfo.apotek.huvudtypkod","","","",0,1,"","","","string {[]} {[]}
","Huvudtypkod","Kod som beskriver huvudverksamheten för expeditionsstället.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.huvudtypkod",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.namn","hamtapatientinfo.apotek.namn","","","",0,1,"","","","string {[]} {[]}
","Apotekets namn","Apotekets namn.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.namn",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.ort","hamtapatientinfo.apotek.ort","","","",0,1,"","","","string {[]} {[]}
","Ort","Expeditionsställets besöksort.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.ort",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.registrerad","hamtapatientinfo.apotek.registrerad","","","",1,1,"","","","boolean {[]} {[]}
","Registrerad i EXPO","Anger om apoteket finns registrerat i EXPO. Om false så saknar alla fält utom glnKod värden.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.registrerad",1,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.slutdatum","hamtapatientinfo.apotek.slutdatum","","","",0,1,"","","","dateTime {[]} {[]}
","Slutdatum","Datum för stängning av verksamhet.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.slutdatum",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.apotek.startdatum","hamtapatientinfo.apotek.startdatum","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum","Datum för start av verksamhet.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.apotek.startdatum",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.dosproducent","hamtapatientinfo.dosproducent","","","",0,1,"","","","string {[]} {[]}
","Dosproducent","GLN-kod för eventuell dosproducent.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.dosproducent",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.dosunderlagStatus","hamtapatientinfo.dosunderlagStatus","","","",0,1,"","","","code {[]} {[]}
","Dosunderlagets status","Status om underlaget är godkänt, registrerat eller avregistrerat: 500 = Ej godkänt, 510 = Godkänt, 520 = Avregistrerat. xs:int i schemat.","","","","","","","","","",,"required","","https://fhir.inera.se/ig/se-apotekensservice-axs/ValueSet/axs-dosunderlagstatus-vs","",,,,"hamtapatientinfo.dosunderlagStatus",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.finnsOrdination","hamtapatientinfo.finnsOrdination","","","",0,1,"","","","boolean {[]} {[]}
","Finns ordination","Markering som anger om det finns aktuella recept för patienten i RDH.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.finnsOrdination",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.patientInformation","hamtapatientinfo.patientInformation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Patientinformation","Patientinformation från FOLK. (se.apotekensservice:axs:5 PatientInformationResponse)","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.patientInformation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtapatientinfo","hamtapatientinfo.patientInformation.id","hamtapatientinfo.patientInformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.patientInformation.extension","hamtapatientinfo.patientInformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtapatientinfo","hamtapatientinfo.patientInformation.modifierExtension","hamtapatientinfo.patientInformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtapatientinfo","hamtapatientinfo.patientInformation.lkKod","hamtapatientinfo.patientInformation.lkKod","","","",0,1,"","","","string {[]} {[]}
","Län- och kommunkod","Län och kommun där personen är folkbokförd, formatet LLKK (LL = län, 2 tecken; KK = kommun, 2 tecken).","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.patientInformation.lkKod",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.patientInformation.omradeskod","hamtapatientinfo.patientInformation.omradeskod","","","",0,1,"","","","string {[]} {[]}
","Områdeskod","Det område där personen är folkbokförd.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.patientInformation.omradeskod",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.patientInformation.redNamn","hamtapatientinfo.patientInformation.redNamn","","","",0,1,"","","","string {[]} {[]}
","Redigerat namn","Redigerat namn.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.patientInformation.redNamn",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.patientInformation.samtycke","hamtapatientinfo.patientInformation.samtycke","","","",1,1,"","","","BackboneElement {[]} {[]}
","Samtycke","Patientens registrerade samtycken (SamtyckeResponse). För varje flagga: true = samtycke lämnat, false = samtycke nekat, saknas = kunden har inte tillfrågats eller tagit ställning.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.patientInformation.samtycke",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtapatientinfo","hamtapatientinfo.patientInformation.samtycke.id","hamtapatientinfo.patientInformation.samtycke.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.patientInformation.samtycke.extension","hamtapatientinfo.patientInformation.samtycke.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtapatientinfo","hamtapatientinfo.patientInformation.samtycke.modifierExtension","hamtapatientinfo.patientInformation.samtycke.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtapatientinfo","hamtapatientinfo.patientInformation.samtycke.dosSamtycke","hamtapatientinfo.patientInformation.samtycke.dosSamtycke","","","",0,1,"","","","boolean {[]} {[]}
","Dos-samtycke","Om kunden samtycker till att spara recept på sitt personnummer för dosapotek.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.patientInformation.samtycke.dosSamtycke",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.patientInformation.samtycke.dosSamtyckeDatum","hamtapatientinfo.patientInformation.samtycke.dosSamtyckeDatum","","","",0,1,"","","","dateTime {[]} {[]}
","Datum dos-samtycke","Datum för senaste ändring av dos-samtycke.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.patientInformation.samtycke.dosSamtyckeDatum",0,1,"",""
"hamtapatientinfo","hamtapatientinfo.patientInformation.samtycke.ees","hamtapatientinfo.patientInformation.samtycke.ees","","","",0,1,"","","","boolean {[]} {[]}
","EES-samtycke","Om kunden samtyckt till att vara med i EES.","","","","","","","","","",,,,,"",,,,"hamtapatientinfo.patientInformation.samtycke.ees",0,1,"",""
