"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"deleteprescriptionreason-response","deleteprescriptionreason-response.comment","deleteprescriptionreason-response.comment","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel eller information om genomförd operation","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"deleteprescriptionreason-response.comment",0,1,"",""
"processcareencounter-request","processcareencounter-request","processcareencounter-request","","","",0,*,"","","","null {[]} {[]}
","ProcessCareEncounter — Request","Logisk modell för requestparametrar i tjänstekontraktet ProcessCareEncounter
(RIV-TA urn:riv:followup:processdevelopment:infections:ProcessCareEncounter:1).
Skriver vårdkontaktsdata till Infektionsverktyget. En vårdkontakt kan uppdateras
genom att ett nytt meddelande med samma vårdkontaktsid skickas in.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"processcareencounter-request","processcareencounter-request.careEncounter","processcareencounter-request.careEncounter","","","",1,1,"","","","BackboneElement {[]} {[]}
","Vårdkontaktsuppgifter","Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processcareencounter-request","processcareencounter-request.careEncounter.id","processcareencounter-request.careEncounter.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.extension","processcareencounter-request.careEncounter.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.modifierExtension","processcareencounter-request.careEncounter.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.careEncounterId","processcareencounter-request.careEncounter.careEncounterId","","","",1,1,"","","","Identifier {[]} {[]}
","Unikt värde för vårdkontakten","Root: nationell OID för lokala id:n: 1.2.752.129.2.1.2.1
Extension: HSA-id för källsystemet + "":"" + ID.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.careEncounterId",1,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.type","processcareencounter-request.careEncounter.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Typ av vårdkontakt","Anger vilken typ av vårdkontakt det gäller.
Kardinalitet: Valfri (XSD anger 0..1).","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.type",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.time","processcareencounter-request.careEncounter.time","","","",1,1,"","","","BackboneElement {[]} {[]}
","Tidsperiod för vårdkontakten","Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.time",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processcareencounter-request","processcareencounter-request.careEncounter.time.id","processcareencounter-request.careEncounter.time.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.time.extension","processcareencounter-request.careEncounter.time.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.time.modifierExtension","processcareencounter-request.careEncounter.time.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.time.start","processcareencounter-request.careEncounter.time.start","","","",0,1,"","","","string {[]} {[]}
","Startdatum (YYYYMMDDhhmmss)","Startdatum (YYYYMMDDhhmmss)","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.time.start",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.time.end","processcareencounter-request.careEncounter.time.end","","","",0,1,"","","","string {[]} {[]}
","Slutdatum (YYYYMMDDhhmmss)","Slutdatum (YYYYMMDDhhmmss)","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.time.end",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.status","processcareencounter-request.careEncounter.status","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Status på vårdkontakten","Kardinalitet: Valfri (XSD anger 0..1).","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.status",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.reason","processcareencounter-request.careEncounter.reason","","","",0,1,"","","","string {[]} {[]}
","Fritextbeskrivning av orsaken till vårdkontakten","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.reason",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.location","processcareencounter-request.careEncounter.location","","","",0,1,"","","","BackboneElement {[]} {[]}
","Plats för vårdkontakten","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.location",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processcareencounter-request","processcareencounter-request.careEncounter.location.id","processcareencounter-request.careEncounter.location.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.location.extension","processcareencounter-request.careEncounter.location.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.location.modifierExtension","processcareencounter-request.careEncounter.location.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.location.locationId","processcareencounter-request.careEncounter.location.locationId","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiering för platsen (HSA-id om vårdenhet)","Root: OID för HSA-id: 1.2.752.129.2.1.4.1
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.location.locationId",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.location.name","processcareencounter-request.careEncounter.location.name","","","",1,1,"","","","string {[]} {[]}
","Namn på platsen där vårdkontakt genomförts","Obligatorisk när performerRole.performerRoleId anges (dvs. involverar vårdpersonal).
Kardinalitet: Obligatorisk (se övriga regler).","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.location.name",1,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.location.address","processcareencounter-request.careEncounter.location.address","","","",0,*,"","","","BackboneElement {[]} {[]}
","Platsens adress","Platsens adress","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.location.address",0,*,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.location.telecom","processcareencounter-request.careEncounter.location.telecom","","","",0,*,"","","","BackboneElement {[]} {[]}
","Platsens telekomadressen","Platsens telekomadressen","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.location.telecom",0,*,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.patient","processcareencounter-request.careEncounter.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patientuppgifter","Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processcareencounter-request","processcareencounter-request.careEncounter.patient.id","processcareencounter-request.careEncounter.patient.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.patient.extension","processcareencounter-request.careEncounter.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.patient.modifierExtension","processcareencounter-request.careEncounter.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.patient.patientId","processcareencounter-request.careEncounter.patient.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens identifierare","Root: OID för typ av identifierare (personnummer 1.2.752.129.2.1.3.1,
samordningsnummer 1.2.752.129.2.1.3.3, reservnummer 1.2.752.129.2.1.2.1).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.patient.patientId",1,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.patient.dateOfBirth","processcareencounter-request.careEncounter.patient.dateOfBirth","","","",1,1,"","","","date {[]} {[]}
","Patientens födelsedag (ÅÅÅÅMMDD)","Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.patient.dateOfBirth",1,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.patient.gender","processcareencounter-request.careEncounter.patient.gender","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Patientens kön","Kodverk KV Kön, OID: 1.2.752.129.2.2.1.1
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.patient.gender",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.sourceSystem","processcareencounter-request.careEncounter.sourceSystem","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id för källsystemet","Root: OID för HSA-id: 1.2.752.129.2.1.4.1
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.sourceSystem",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole","processcareencounter-request.careEncounter.performerRole","","","",1,1,"","","","BackboneElement {[]} {[]}
","Utförarens roll","Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.performerRole",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.id","processcareencounter-request.careEncounter.performerRole.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.extension","processcareencounter-request.careEncounter.performerRole.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
