"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getavailablefacilities-request","getavailablefacilities-request","getavailablefacilities-request","","","",0,*,"","","","null {[]} {[]}
","GetAvailableFacilities — Request","Logisk modell för requestparametrar i tjänstekontraktet GetAvailableFacilities (Visa möjliga tjänsteutövare).
(RIV-TA urn:riv:crm:carelisting:GetAvailableFacilitiesResponder:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getavailablefacilities-request","getavailablefacilities-request.countyCode","getavailablefacilities-request.countyCode","","","",1,1,"","","","string {[]} {[]}
","Länskod (SCB-kod) för regionen","SCB-kod för det län/den region vars tillgängliga vårdenheter söks.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailablefacilities-request.countyCode",1,1,"",""
"getavailablefacilities-request","getavailablefacilities-request.healthcareFacilities","getavailablefacilities-request.healthcareFacilities","","","",0,*,"","","","Identifier {[]} {[]}
","HSA-ID:n för specifika vårdenheter","Lista med HSA-ID:n för specifika vårdenheter att hämta information om.
Tom lista innebär att information om alla tillgängliga vårdenheter ska hämtas.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getavailablefacilities-request.healthcareFacilities",0,*,"",""
"getavailablefacilities-request","getavailablefacilities-request.listingType","getavailablefacilities-request.listingType","","","",0,*,"","","","string {[]} {[]}
","Typer av vårdenheter att söka fram","Anger vilka typer av vårdenheter som skall sökas fram.
Om inget anges hämtas alla.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getavailablefacilities-request.listingType",0,*,"",""
"getavailablefacilities","getavailablefacilities","getavailablefacilities","","","",0,*,"","","","null {[]} {[]}
","GetAvailableFacilities","Logisk modell för tjänstekontraktet GetAvailableFacilities (Visa möjliga tjänsteutövare)
(RIV-TA urn:riv:crm:carelisting:GetAvailableFacilitiesResponder:1).
Representerar responsens informationsstruktur.
Hämtar lista med tillgängliga vårdenheter (tjänsteutövare) inom en region.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getavailablefacilities","getavailablefacilities.healthcareFacilities","getavailablefacilities.healthcareFacilities","","","",1,*,"","","","BackboneElement {[]} {[]}
","Lista med tillgängliga vårdenheter","Facility: lista med tillgängliga vårdenheter i regionen.
Kardinalitet: Obligatorisk, lista.","","","","","","","","","",,,,,"",,,,"getavailablefacilities.healthcareFacilities",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getavailablefacilities","getavailablefacilities.healthcareFacilities.id","getavailablefacilities.healthcareFacilities.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getavailablefacilities","getavailablefacilities.healthcareFacilities.extension","getavailablefacilities.healthcareFacilities.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getavailablefacilities","getavailablefacilities.healthcareFacilities.modifierExtension","getavailablefacilities.healthcareFacilities.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getavailablefacilities","getavailablefacilities.healthcareFacilities.facilityId","getavailablefacilities.healthcareFacilities.facilityId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-ID för vårdenheten","HSA-ID eller alternativt Orgnr+lokalt id för vårdenheten.
System: urn:oid:1.2.752.129.2.1.4.1 (HSA-id).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailablefacilities.healthcareFacilities.facilityId",1,1,"",""
"getavailablefacilities","getavailablefacilities.healthcareFacilities.facilityName","getavailablefacilities.healthcareFacilities.facilityName","","","",1,1,"","","","string {[]} {[]}
","Namn på vårdenheten","Enhetens officiella namn.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailablefacilities.healthcareFacilities.facilityName",1,1,"",""
"getavailablefacilities","getavailablefacilities.healthcareFacilities.hasQueue","getavailablefacilities.healthcareFacilities.hasQueue","","","",0,1,"","","","boolean {[]} {[]}
","Indikerar om vårdenheten har kö","Boolskt värde som indikerar om vårdenheten har kö vid listningar.
Kan utelämnas om information saknas eller inte behövs i kontexten.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailablefacilities.healthcareFacilities.hasQueue",0,1,"",""
"getavailablefacilities","getavailablefacilities.healthcareFacilities.supportedListingTypes","getavailablefacilities.healthcareFacilities.supportedListingTypes","","","",0,*,"","","","string {[]} {[]}
","Listningstyper som vårdenheten stödjer","Lista med listningstyper som vårdenheten stödjer.
Kan utelämnas om information saknas eller inte behövs.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getavailablefacilities.healthcareFacilities.supportedListingTypes",0,*,"",""
"getlisting-request","getlisting-request","getlisting-request","","","",0,*,"","","","null {[]} {[]}
","GetListing — Request","Logisk modell för requestparametrar i tjänstekontraktet GetListing (Visa tjänsteval).
(RIV-TA urn:riv:crm:carelisting:GetListingResponder:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getlisting-request","getlisting-request.personId","getlisting-request.personId","","","",1,1,"","","","string {[]} {[]}
","Personnummer för vård- och omsorgstagaren","Identitetsbeteckning för vård- och omsorgstagaren.
Personnummer kan anges med eller utan sekelsiffror. Bindestreck är valfritt.
Pattern: (([1-9]\d{7})|(\d{6}))[\-]?\d{4}
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getlisting-request.personId",1,1,"",""
"getlisting","getlisting","getlisting","","","",0,*,"","","","null {[]} {[]}
","GetListing","Logisk modell för tjänstekontraktet GetListing (Visa tjänsteval)
(RIV-TA urn:riv:crm:carelisting:GetListingResponder:1).
Representerar responsens informationsstruktur.
Hämtar information om en persons aktiva listning (tjänsteval).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getlisting","getlisting.subjectOfCare","getlisting.subjectOfCare","","","",1,1,"","","","BackboneElement {[]} {[]}
","En persons listningar","SubjectOfCare: root-element som beskriver tjänsteval för en person.
PostCondition: tillgängliga listningstyper för en listnings vårdenhet är utelämnad.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getlisting","getlisting.subjectOfCare.id","getlisting.subjectOfCare.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getlisting","getlisting.subjectOfCare.extension","getlisting.subjectOfCare.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getlisting","getlisting.subjectOfCare.modifierExtension","getlisting.subjectOfCare.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getlisting","getlisting.subjectOfCare.personId","getlisting.subjectOfCare.personId","","","",1,1,"","","","string {[]} {[]}
","Identitetsbeteckning för vård- och omsorgstagaren","Personnummer, samordningsnummer eller reservnummer för vård- och omsorgstagaren.
Pattern: (([1-9]\d{7})|(\d{6}))[\-]?\d{4}
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.personId",1,1,"",""
"getlisting","getlisting.subjectOfCare.listing","getlisting.subjectOfCare.listing","","","",0,*,"","","","BackboneElement {[]} {[]}
","En listning för personen","En persons listning, dvs. en koppling till en vårdenhet och optionellt en resurs.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getlisting","getlisting.subjectOfCare.listing.id","getlisting.subjectOfCare.listing.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getlisting","getlisting.subjectOfCare.listing.extension","getlisting.subjectOfCare.listing.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getlisting","getlisting.subjectOfCare.listing.modifierExtension","getlisting.subjectOfCare.listing.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getlisting","getlisting.subjectOfCare.listing.validFromDate","getlisting.subjectOfCare.listing.validFromDate","","","",0,1,"","","","dateTime {[]} {[]}
","Datum för när listningen började gälla","Anger datum för när listningen började gälla.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.validFromDate",0,1,"",""
"getlisting","getlisting.subjectOfCare.listing.validToDate","getlisting.subjectOfCare.listing.validToDate","","","",0,1,"","","","dateTime {[]} {[]}
","Datum när listningen slutade gälla","Anger datum när listningen slutade gälla.
Om datum saknas är det implicit obestämt in i framtiden.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.validToDate",0,1,"",""
"getlisting","getlisting.subjectOfCare.listing.listingType","getlisting.subjectOfCare.listing.listingType","","","",1,1,"","","","string {[]} {[]}
","Typ av listning","Typ av listning, t.ex. BVC, HLM, FL.
Listningstyp saknar centralt kodverk — se QUESTIONS.md.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.listingType",1,1,"",""
"getlisting","getlisting.subjectOfCare.listing.healthcareFacility","getlisting.subjectOfCare.listing.healthcareFacility","","","",1,1,"","","","BackboneElement {[]} {[]}
","Vårdinrättning som ansvarar för personen","Facility: Vårdinrättning/vårdenhet som ansvarar för personen som listat sig hos dem.
Det är denna inrättning som för ekonomisk ersättning för personen.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.healthcareFacility",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getlisting","getlisting.subjectOfCare.listing.healthcareFacility.id","getlisting.subjectOfCare.listing.healthcareFacility.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getlisting","getlisting.subjectOfCare.listing.healthcareFacility.extension","getlisting.subjectOfCare.listing.healthcareFacility.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getlisting","getlisting.subjectOfCare.listing.healthcareFacility.modifierExtension","getlisting.subjectOfCare.listing.healthcareFacility.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getlisting","getlisting.subjectOfCare.listing.healthcareFacility.facilityId","getlisting.subjectOfCare.listing.healthcareFacility.facilityId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-ID för vårdenheten","HSA-ID eller alternativt Orgnr+lokalt id för vårdenheten.
System: urn:oid:1.2.752.129.2.1.4.1 (HSA-id).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.healthcareFacility.facilityId",1,1,"",""
"getlisting","getlisting.subjectOfCare.listing.healthcareFacility.facilityName","getlisting.subjectOfCare.listing.healthcareFacility.facilityName","","","",1,1,"","","","string {[]} {[]}
","Namn på vårdenheten","Enhetens officiella namn.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.healthcareFacility.facilityName",1,1,"",""
"getlisting","getlisting.subjectOfCare.listing.healthcareFacility.hasQueue","getlisting.subjectOfCare.listing.healthcareFacility.hasQueue","","","",0,1,"","","","boolean {[]} {[]}
","Indikerar om vårdenheten har kö","Boolskt värde som indikerar om vårdenheten har kö vid listningar.
Kan utelämnas om information inte har någon betydelse i kontexten.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.healthcareFacility.hasQueue",0,1,"",""
"getlisting","getlisting.subjectOfCare.listing.healthcareFacility.supportedListingTypes","getlisting.subjectOfCare.listing.healthcareFacility.supportedListingTypes","","","",0,*,"","","","string {[]} {[]}
","Listningstyper som vårdenheten stödjer","Lista med listningstyper som vårdenheten stödjer.
Utelämnas per postcondition i GetListing-svaret.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.healthcareFacility.supportedListingTypes",0,*,"",""
"getlisting","getlisting.subjectOfCare.listing.resource","getlisting.subjectOfCare.listing.resource","","","",0,1,"","","","BackboneElement {[]} {[]}
","Specifik resurs som utför listningstjänsten","Resource: specifik resurs (t.ex. en läkare eller husläkarteam) som utför listningstjänsten.
Om listning pekar ut en specifik resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.resource",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getlisting","getlisting.subjectOfCare.listing.resource.id","getlisting.subjectOfCare.listing.resource.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getlisting","getlisting.subjectOfCare.listing.resource.extension","getlisting.subjectOfCare.listing.resource.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getlisting","getlisting.subjectOfCare.listing.resource.modifierExtension","getlisting.subjectOfCare.listing.resource.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getlisting","getlisting.subjectOfCare.listing.resource.resourceId","getlisting.subjectOfCare.listing.resource.resourceId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-ID för resursen","HSA-ID för resursen (personal).
I de fall HSA-id inte finns tillgängligt kan alternativ id-beteckning användas.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.resource.resourceId",1,1,"",""
"getlisting","getlisting.subjectOfCare.listing.resource.resourceName","getlisting.subjectOfCare.listing.resource.resourceName","","","",1,1,"","","","string {[]} {[]}
","Namn på vårdgivaren","Aktuell persons förnamn och efternamn.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getlisting.subjectOfCare.listing.resource.resourceName",1,1,"",""
"getlistingtypes-request","getlistingtypes-request","getlistingtypes-request","","","",0,*,"","","","null {[]} {[]}
","GetListingTypes — Request","Logisk modell för requestparametrar i tjänstekontraktet GetListingTypes (Visa listningstyp).
(RIV-TA urn:riv:crm:carelisting:GetListingTypesResponder:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
