"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"aterkallasamtyckevardsystem-request","aterkallasamtyckevardsystem-request","aterkallasamtyckevardsystem-request","","","",0,*,"","","","null {[]} {[]}
","AterkallaSamtyckeVardsystem — Request","Logisk modell för begäran i AterkallaSamtyckeVardsystem
(urn:riv:se.apotekensservice:lf:AterkallaSamtyckeVardsystemResponder:1, AterkallaSamtyckeVardsystemRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.argosHeader.systemversion","kontrollerasamtyckevardsystem-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.systemversion",0,1,"",""
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.argosHeader.systemIp","kontrollerasamtyckevardsystem-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.argosHeader.systemIp",0,1,"",""
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.klientinformation","kontrollerasamtyckevardsystem-request.klientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","klientinformation","Information om anropande system.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.klientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.klientinformation.id","kontrollerasamtyckevardsystem-request.klientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.klientinformation.extension","kontrollerasamtyckevardsystem-request.klientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.klientinformation.modifierExtension","kontrollerasamtyckevardsystem-request.klientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.klientinformation.anvandare","kontrollerasamtyckevardsystem-request.klientinformation.anvandare","","","",1,1,"","","","string {[]} {[]}
","anvandare","Unikt användarid i anropande system.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.klientinformation.anvandare",1,1,"",""
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.klientinformation.session","kontrollerasamtyckevardsystem-request.klientinformation.session","","","",1,1,"","","","string {[]} {[]}
","session","Sessionens id i anropande system.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.klientinformation.session",1,1,"",""
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.klientinformation.system","kontrollerasamtyckevardsystem-request.klientinformation.system","","","",1,1,"","","","string {[]} {[]}
","system","GLN-kod för anropande system.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.klientinformation.system",1,1,"",""
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.samtyckesgivare","kontrollerasamtyckevardsystem-request.samtyckesgivare","","","",1,1,"","","","string {[]} {[]}
","samtyckesgivare","Giltigt personnummer för patient vars läkemedelsförteckning skall hämtas.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.samtyckesgivare",1,1,"",""
"kontrollerasamtyckevardsystem-request","kontrollerasamtyckevardsystem-request.samtyckestagareForskrivarkod","kontrollerasamtyckevardsystem-request.samtyckestagareForskrivarkod","","","",1,1,"","","","string {[]} {[]}
","samtyckestagareForskrivarkod","Förskrivarkod för förskrivare vars samtycke ska kontrolleras. Ska vara identisk med användare i klientinformation. Valideras mot FORS.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem-request.samtyckestagareForskrivarkod",1,1,"",""
"kontrollerasamtyckevardsystem","kontrollerasamtyckevardsystem","kontrollerasamtyckevardsystem","","","",0,*,"","","","null {[]} {[]}
","KontrolleraSamtyckeVardsystem — Response","Logisk modell för svaret i KontrolleraSamtyckeVardsystem
(urn:riv:se.apotekensservice:lf:KontrolleraSamtyckeVardsystemResponder:1, KontrolleraSamtyckeVardsystemResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"kontrollerasamtyckevardsystem","kontrollerasamtyckevardsystem.avliden","kontrollerasamtyckevardsystem.avliden","","","",1,1,"","","","boolean {[]} {[]}
","avliden","Markering om patient är avliden enligt FOLK. Sant om patient är markerad som avliden, annars falskt.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem.avliden",1,1,"",""
"kontrollerasamtyckevardsystem","kontrollerasamtyckevardsystem.samtycke","kontrollerasamtyckevardsystem.samtycke","","","",1,1,"","","","integer {[]} {[]}
","samtycke","Anger om aktuell förskrivare har samtycke av patient. Möjliga värden är: 0 = Samtycke att läsa Läkemedelsförteckningen saknas 1= Samtycke att läsa Läkemedelsförteckningen finns 2 = Samtycke att läsa Läkemedelsförteckningen har återkallats","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem.samtycke",1,1,"",""
"kontrollerasamtyckevardsystem","kontrollerasamtyckevardsystem.samtyckesgivare","kontrollerasamtyckevardsystem.samtyckesgivare","","","",1,1,"","","","string {[]} {[]}
","samtyckesgivare","Giltigt personnummer för patient vars läkemedelsförteckning skall hämtas.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem.samtyckesgivare",1,1,"",""
"kontrollerasamtyckevardsystem","kontrollerasamtyckevardsystem.statusdatum","kontrollerasamtyckevardsystem.statusdatum","","","",0,1,"","","","dateTime {[]} {[]}
","statusdatum","Datum då patient givit eller återkallat samtycke till förskrivare. Blank om uppgift om samtycke saknas.","","","","","","","","","",,,,,"",,,,"kontrollerasamtyckevardsystem.statusdatum",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request","laslfvardsystem-request","","","",0,*,"","","","null {[]} {[]}
","LasLFVardsystem — Request","Logisk modell för begäran i LasLFVardsystem
(urn:riv:se.apotekensservice:lf:LasLFVardsystemResponder:4, LasLFVardsystemRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"laslfvardsystem-request","laslfvardsystem-request.logicalAddress","laslfvardsystem-request.logicalAddress","","","",1,1,"","","","string {[]} {[]}
","logicalAddress","SOAP-huvud LogicalAddress. Orgnr of Apotekens Service AB","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.logicalAddress",1,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader","laslfvardsystem-request.argosHeader","","","",1,1,"","","","BackboneElement {[]} {[]}
","argosHeader","SOAP-huvud ArgosHeader. Argos header of Apotekens Service AB. Check documentation regarding mandatory fields for this specific service interaction","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.id","laslfvardsystem-request.argosHeader.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.extension","laslfvardsystem-request.argosHeader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.modifierExtension","laslfvardsystem-request.argosHeader.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.forskrivarkod","laslfvardsystem-request.argosHeader.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","forskrivarkod","forskrivarkod","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.forskrivarkod",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.legitimationskod","laslfvardsystem-request.argosHeader.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","legitimationskod","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.legitimationskod",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.fornamn","laslfvardsystem-request.argosHeader.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","fornamn","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.fornamn",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.efternamn","laslfvardsystem-request.argosHeader.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","efternamn","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.efternamn",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.yrkesgrupp","laslfvardsystem-request.argosHeader.yrkesgrupp","","","",0,1,"","","","string {[]} {[]}
","yrkesgrupp","yrkesgrupp","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.yrkesgrupp",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.befattningskod","laslfvardsystem-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.befattningskod",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.arbetsplatskod","laslfvardsystem-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.arbetsplatskod",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.arbetsplatsnamn","laslfvardsystem-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.arbetsplatsnamn",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.postort","laslfvardsystem-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.postort",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.postadress","laslfvardsystem-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.postadress",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.postnummer","laslfvardsystem-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.postnummer",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.telefonnummer","laslfvardsystem-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.telefonnummer",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.requestId","laslfvardsystem-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.requestId",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.rollnamn","laslfvardsystem-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.rollnamn",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.hsaID","laslfvardsystem-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.hsaID",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.katalog","laslfvardsystem-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.katalog",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.organisationsnummer","laslfvardsystem-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.organisationsnummer",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.systemnamn","laslfvardsystem-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.systemnamn",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.systemversion","laslfvardsystem-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.systemversion",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.argosHeader.systemIp","laslfvardsystem-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.systemIp",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.anvandarnamn","laslfvardsystem-request.anvandarnamn","","","",0,1,"","","","string {[]} {[]}
","anvandarnamn","Användarnamn, används i kombination med HSA användar-id (klientinformation.anvandare) för att identifiera användare. Obligatoriskt om förskrivarkod saknas.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.anvandarnamn",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.arbetsplatsId","laslfvardsystem-request.arbetsplatsId","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsId","HSA-id för arbetsplats.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.arbetsplatsId",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.arbetsplatskod","laslfvardsystem-request.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","Förskrivarens arbetsplatskod, valideras mot ARKO. Obligatorisk om arbetsplatsnamn och arbetsplatsort inte anges.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.arbetsplatskod",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.arbetsplatsnamn","laslfvardsystem-request.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","Namnet på användarens arbetsplats. Används istället för arbetsplatskod. Obligatorisk om arbetsplatskod inte anges.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.arbetsplatsnamn",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.arbetsplatsort","laslfvardsystem-request.arbetsplatsort","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsort","Orten för användarens arbetsplats. Används istället för arbetsplatskod. Obligatorisk om arbetsplatskod inte anges.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.arbetsplatsort",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.atkomsttyp","laslfvardsystem-request.atkomsttyp","","","",1,1,"","","","string {[]} {[]}
","atkomsttyp","Treställig kod för typ av åtkomst. Tillåtna värden: ENG - Engångssamtycke SAM - Tillsvidaresamtycke NOD - Nödåtkomst","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.atkomsttyp",1,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.forskrivarkod","laslfvardsystem-request.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","forskrivarkod","Förskrivarens förskrivarkod, valideras mot FORS. Förskrivarkod skall även anges som användare i klientinformation.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.forskrivarkod",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.klientinformation","laslfvardsystem-request.klientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","klientinformation","Information om anropande system.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.klientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"laslfvardsystem-request","laslfvardsystem-request.klientinformation.id","laslfvardsystem-request.klientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.klientinformation.extension","laslfvardsystem-request.klientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem-request","laslfvardsystem-request.klientinformation.modifierExtension","laslfvardsystem-request.klientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem-request","laslfvardsystem-request.klientinformation.anvandare","laslfvardsystem-request.klientinformation.anvandare","","","",1,1,"","","","string {[]} {[]}
","anvandare","Unikt användarid i anropande system.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.klientinformation.anvandare",1,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.klientinformation.session","laslfvardsystem-request.klientinformation.session","","","",1,1,"","","","string {[]} {[]}
","session","Sessionens id i anropande system.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.klientinformation.session",1,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.klientinformation.system","laslfvardsystem-request.klientinformation.system","","","",1,1,"","","","string {[]} {[]}
","system","Systemnamn för anropande system. GLN-kod krävs för anrop från MVK och LTj.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.klientinformation.system",1,1,"",""
"laslfvardsystem-request","laslfvardsystem-request.personnummer","laslfvardsystem-request.personnummer","","","",1,1,"","","","string {[]} {[]}
","personnummer","Giltigt personnummer för patient vars läkemedelsförteckning skall hämtas.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.personnummer",1,1,"",""
"laslfvardsystem","laslfvardsystem","laslfvardsystem","","","",0,*,"","","","null {[]} {[]}
","LasLFVardsystem — Response","Logisk modell för svaret i LasLFVardsystem
(urn:riv:se.apotekensservice:lf:LasLFVardsystemResponder:4, LasLFVardsystemResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning","laslfvardsystem.lakemedelsforteckning","","","",0,*,"","","","BackboneElement {[]} {[]}
","lakemedelsforteckning","Patientens läkemedelsförteckning. Om patienten saknar poster i läkemedelsförteckningen så returneras en tom lista.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.id","laslfvardsystem.lakemedelsforteckning.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.extension","laslfvardsystem.lakemedelsforteckning.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.modifierExtension","laslfvardsystem.lakemedelsforteckning.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.aktorsExpeditionsId","laslfvardsystem.lakemedelsforteckning.aktorsExpeditionsId","","","",1,1,"","","","string {[]} {[]}
","aktorsExpeditionsId","Aktörens expeditionsId","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.aktorsExpeditionsId",1,1,"",""
