"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"laslfvardsystem-request","laslfvardsystem-request","","","",0,*,"","","","null {[]} {[]}
","LasLFVardsystem — Request","Logisk modell för begäran i LasLFVardsystem
(urn:riv:se.apotekensservice:lf:LasLFVardsystemResponder:4, LasLFVardsystemRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"laslfvardsystem-request.argosHeader.hsaID","laslfvardsystem-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.hsaID",0,1,"",""
"laslfvardsystem-request.argosHeader.katalog","laslfvardsystem-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.katalog",0,1,"",""
"laslfvardsystem-request.argosHeader.organisationsnummer","laslfvardsystem-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.organisationsnummer",0,1,"",""
"laslfvardsystem-request.argosHeader.systemnamn","laslfvardsystem-request.argosHeader.systemnamn","","","",0,1,"","","","string {[]} {[]}
","systemnamn","systemnamn","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.systemnamn",0,1,"",""
"laslfvardsystem-request.argosHeader.systemversion","laslfvardsystem-request.argosHeader.systemversion","","","",0,1,"","","","string {[]} {[]}
","systemversion","systemversion","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.systemversion",0,1,"",""
"laslfvardsystem-request.argosHeader.systemIp","laslfvardsystem-request.argosHeader.systemIp","","","",0,1,"","","","string {[]} {[]}
","systemIp","systemIp","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.argosHeader.systemIp",0,1,"",""
"laslfvardsystem-request.anvandarnamn","laslfvardsystem-request.anvandarnamn","","","",0,1,"","","","string {[]} {[]}
","anvandarnamn","Användarnamn, används i kombination med HSA användar-id (klientinformation.anvandare) för att identifiera användare. Obligatoriskt om förskrivarkod saknas.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.anvandarnamn",0,1,"",""
"laslfvardsystem-request.arbetsplatsId","laslfvardsystem-request.arbetsplatsId","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsId","HSA-id för arbetsplats.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.arbetsplatsId",0,1,"",""
"laslfvardsystem-request.arbetsplatskod","laslfvardsystem-request.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","Förskrivarens arbetsplatskod, valideras mot ARKO. Obligatorisk om arbetsplatsnamn och arbetsplatsort inte anges.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.arbetsplatskod",0,1,"",""
"laslfvardsystem-request.arbetsplatsnamn","laslfvardsystem-request.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","Namnet på användarens arbetsplats. Används istället för arbetsplatskod. Obligatorisk om arbetsplatskod inte anges.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.arbetsplatsnamn",0,1,"",""
"laslfvardsystem-request.arbetsplatsort","laslfvardsystem-request.arbetsplatsort","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsort","Orten för användarens arbetsplats. Används istället för arbetsplatskod. Obligatorisk om arbetsplatskod inte anges.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.arbetsplatsort",0,1,"",""
"laslfvardsystem-request.atkomsttyp","laslfvardsystem-request.atkomsttyp","","","",1,1,"","","","string {[]} {[]}
","atkomsttyp","Treställig kod för typ av åtkomst. Tillåtna värden: ENG - Engångssamtycke SAM - Tillsvidaresamtycke NOD - Nödåtkomst","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.atkomsttyp",1,1,"",""
"laslfvardsystem-request.forskrivarkod","laslfvardsystem-request.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","forskrivarkod","Förskrivarens förskrivarkod, valideras mot FORS. Förskrivarkod skall även anges som användare i klientinformation.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.forskrivarkod",0,1,"",""
"laslfvardsystem-request.klientinformation","laslfvardsystem-request.klientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","klientinformation","Information om anropande system.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.klientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"laslfvardsystem-request.klientinformation.id","laslfvardsystem-request.klientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"laslfvardsystem-request.klientinformation.extension","laslfvardsystem-request.klientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem-request.klientinformation.modifierExtension","laslfvardsystem-request.klientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem-request.klientinformation.anvandare","laslfvardsystem-request.klientinformation.anvandare","","","",1,1,"","","","string {[]} {[]}
","anvandare","Unikt användarid i anropande system.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.klientinformation.anvandare",1,1,"",""
"laslfvardsystem-request.klientinformation.session","laslfvardsystem-request.klientinformation.session","","","",1,1,"","","","string {[]} {[]}
","session","Sessionens id i anropande system.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.klientinformation.session",1,1,"",""
"laslfvardsystem-request.klientinformation.system","laslfvardsystem-request.klientinformation.system","","","",1,1,"","","","string {[]} {[]}
","system","Systemnamn för anropande system. GLN-kod krävs för anrop från MVK och LTj.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.klientinformation.system",1,1,"",""
"laslfvardsystem-request.personnummer","laslfvardsystem-request.personnummer","","","",1,1,"","","","string {[]} {[]}
","personnummer","Giltigt personnummer för patient vars läkemedelsförteckning skall hämtas.","","","","","","","","","",,,,,"",,,,"laslfvardsystem-request.personnummer",1,1,"",""
