"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getavailabletimeslots","getavailabletimeslots","","","",0,*,"","","","null {[]} {[]}
","GetAvailableTimeslots","Logisk modell för tjänstekontraktet GetAvailableTimeslots
(RIV-TA urn:riv:crm:scheduling:GetAvailableTimeslots:1).
Representerar responsens informationsstruktur.
Tjänsten hämtar lediga tider för angivet datumintervall.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getavailabletimeslots.timeslotDetail.reason","getavailabletimeslots.timeslotDetail.reason","","","",0,1,"","","","string {[]} {[]}
","Kontaktorsak som invånare uppger vid bokning","Kontaktorsak som invånare uppger vid bokning.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.reason",0,1,"",""
"getavailabletimeslots.timeslotDetail.resourceName","getavailabletimeslots.timeslotDetail.resourceName","","","",0,1,"","","","string {[]} {[]}
","Namn på resurs","Namn på resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.resourceName",0,1,"",""
"getavailabletimeslots.timeslotDetail.healthcare-facility-name","getavailabletimeslots.timeslotDetail.healthcare_facility_name","","","",0,1,"","","","string {[]} {[]}
","Namn på bokad mottagning/vårdenhet","Namn på bokad mottagning/vårdenhet.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.healthcare_facility_name",0,1,"",""
"getavailabletimeslots.timeslotDetail.performerName","getavailabletimeslots.timeslotDetail.performerName","","","",0,1,"","","","string {[]} {[]}
","Namn på HoS-person","Namn på HoS-person som besöket är bokat hos.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.performerName",0,1,"",""
"getavailabletimeslots.timeslotDetail.resourceID","getavailabletimeslots.timeslotDetail.resourceID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för resurs","Identifierare för resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.resourceID",0,1,"",""
"getavailabletimeslots.timeslotDetail.timeTypeName","getavailabletimeslots.timeslotDetail.timeTypeName","","","",0,1,"","","","string {[]} {[]}
","Tidstyp för det bokade besöket","Tidstyp för det bokade besöket.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.timeTypeName",0,1,"",""
"getavailabletimeslots.timeslotDetail.timeTypeID","getavailabletimeslots.timeslotDetail.timeTypeID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för tidstyp","Identifierare för tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.timeTypeID",0,1,"",""
"getavailabletimeslots.timeslotDetail.careTypeName","getavailabletimeslots.timeslotDetail.careTypeName","","","",0,1,"","","","string {[]} {[]}
","Klartext för vårdtyp","Klartext för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.careTypeName",0,1,"",""
"getavailabletimeslots.timeslotDetail.careTypeID","getavailabletimeslots.timeslotDetail.careTypeID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för vårdtyp","Identifierare för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.careTypeID",0,1,"",""
"getavailabletimeslots.timeslotDetail.cancel-booking-allowed","getavailabletimeslots.timeslotDetail.cancel_booking_allowed","","","",0,1,"","","","boolean {[]} {[]}
","Om bokningen kan avbokas","Sätts av producenten. Anger om bokningen kan avbokas.
Avbokning är inte tillåten om värdet saknas eller är false.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.cancel_booking_allowed",0,1,"",""
"getavailabletimeslots.timeslotDetail.rebooking-allowed","getavailabletimeslots.timeslotDetail.rebooking_allowed","","","",0,1,"","","","boolean {[]} {[]}
","Om bokningen kan ombokas","Sätts av producenten. Anger om bokningen kan ombokas.
Ombokning är inte tillåten om värdet saknas eller är false.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.rebooking_allowed",0,1,"",""
"getavailabletimeslots.timeslotDetail.message-allowed","getavailabletimeslots.timeslotDetail.message_allowed","","","",0,1,"","","","boolean {[]} {[]}
","Om orsak till av/ombokning kan skickas","Sätts av producenten. Anger om orsak till av- eller ombokning kan skickas med i berörda tjänster.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.message_allowed",0,1,"",""
