"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cancelbooking-request","cancelbooking-request","cancelbooking-request","","","",0,*,"","","","null {[]} {[]}
","CancelBooking — Request","Logisk modell för requestparametrar i CancelBooking.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getallcaretypes-request","getallcaretypes-request.subject-of-care","getallcaretypes-request.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallcaretypes-request.subject_of_care",1,1,"",""
"getallcaretypes","getallcaretypes","getallcaretypes","","","",0,*,"","","","null {[]} {[]}
","GetAllCareTypes","Logisk modell för tjänstekontraktet GetAllCareTypes
(RIV-TA urn:riv:crm:scheduling:GetAllCareTypes:1).
Representerar responsens informationsstruktur.
Tjänst att för invånaren kunna visa en lista över vilka typer av vård
som kan bokas hos en viss vårdenhet/mottagning.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getallcaretypes","getallcaretypes.careTypes","getallcaretypes.careTypes","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lista med vårdtyper","Lista med tillgängliga vårdtyper (CareTypeType).
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getallcaretypes.careTypes",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getallcaretypes","getallcaretypes.careTypes.id","getallcaretypes.careTypes.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getallcaretypes","getallcaretypes.careTypes.extension","getallcaretypes.careTypes.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getallcaretypes","getallcaretypes.careTypes.modifierExtension","getallcaretypes.careTypes.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getallcaretypes","getallcaretypes.careTypes.careTypeName","getallcaretypes.careTypes.careTypeName","","","",1,1,"","","","string {[]} {[]}
","Beskrivande text för vårdtypen (att visas för användare)","Beskrivande text för vårdtypen att visas för användaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallcaretypes.careTypes.careTypeName",1,1,"",""
"getallcaretypes","getallcaretypes.careTypes.careTypeId","getallcaretypes.careTypes.careTypeId","","","",1,1,"","","","string {[]} {[]}
","Kod för vårdtypen (intern för vårdenheten)","Intern kod för vårdtypen hos vårdenheten.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallcaretypes.careTypes.careTypeId",1,1,"",""
"getallhealthcarefacilities-request","getallhealthcarefacilities-request","getallhealthcarefacilities-request","","","",0,*,"","","","null {[]} {[]}
","GetAllHealthcareFacilities — Request","Logisk modell för requestparametrar i GetAllHealthcareFacilities.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getallhealthcarefacilities-request","getallhealthcarefacilities-request.healthcare-facility","getallhealthcarefacilities-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet (kallande organisation).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallhealthcarefacilities-request.healthcare_facility",1,1,"",""
"getallhealthcarefacilities-request","getallhealthcarefacilities-request.subject-of-care","getallhealthcarefacilities-request.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren. Kan användas för att filtrera svar per invånare.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallhealthcarefacilities-request.subject_of_care",1,1,"",""
"getallhealthcarefacilities-request","getallhealthcarefacilities-request.bookingId","getallhealthcarefacilities-request.bookingId","","","",0,1,"","","","string {[]} {[]}
","Internt bokningsid","Internt bokningsid. Obligatoriskt när förfrågan gäller ombokning.
Kardinalitet: Valfri (villkorlig: obligatorisk vid ombokning).","","","","","","","","","",,,,,"",,,,"getallhealthcarefacilities-request.bookingId",0,1,"",""
"getallhealthcarefacilities","getallhealthcarefacilities","getallhealthcarefacilities","","","",0,*,"","","","null {[]} {[]}
","GetAllHealthcareFacilities","Logisk modell för tjänstekontraktet GetAllHealthcareFacilities
(RIV-TA urn:riv:crm:scheduling:GetAllHealthcareFacilities:1).
Representerar responsens informationsstruktur.
Tjänst för att hämta alla vårdenheter som erbjuds för ombokning eller nybokning för aktuell invånare.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getallhealthcarefacilities","getallhealthcarefacilities.healthcareFacilityInfos","getallhealthcarefacilities.healthcareFacilityInfos","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lista med tillgängliga mottagningar/vårdenheter","Lista med tillgängliga mottagningar/vårdenheter (HealthcareFacilityInfoType).
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getallhealthcarefacilities.healthcareFacilityInfos",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getallhealthcarefacilities","getallhealthcarefacilities.healthcareFacilityInfos.id","getallhealthcarefacilities.healthcareFacilityInfos.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getallhealthcarefacilities","getallhealthcarefacilities.healthcareFacilityInfos.extension","getallhealthcarefacilities.healthcareFacilityInfos.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getallhealthcarefacilities","getallhealthcarefacilities.healthcareFacilityInfos.modifierExtension","getallhealthcarefacilities.healthcareFacilityInfos.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getallhealthcarefacilities","getallhealthcarefacilities.healthcareFacilityInfos.healthcare-facility","getallhealthcarefacilities.healthcareFacilityInfos.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallhealthcarefacilities.healthcareFacilityInfos.healthcare_facility",1,1,"",""
"getallhealthcarefacilities","getallhealthcarefacilities.healthcareFacilityInfos.healthcare-facility-name","getallhealthcarefacilities.healthcareFacilityInfos.healthcare_facility_name","","","",0,1,"","","","string {[]} {[]}
","Vårdenhetens föredragna namn","Vårdenhetens föredragna namn vid visning för användare (i förhållande till HSA-katalogens innehåll).
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getallhealthcarefacilities.healthcareFacilityInfos.healthcare_facility_name",0,1,"",""
"getallperformers-request","getallperformers-request","getallperformers-request","","","",0,*,"","","","null {[]} {[]}
","GetAllPerformers — Request","Logisk modell för requestparametrar i GetAllPerformers.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getallperformers-request","getallperformers-request.healthcare-facility","getallperformers-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallperformers-request.healthcare_facility",1,1,"",""
"getallperformers-request","getallperformers-request.timeTypeIDs","getallperformers-request.timeTypeIDs","","","",0,*,"","","","string {[]} {[]}
","Tidstypid för att begränsa svarslistan","Tidstypid för att begränsa svarslistan.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getallperformers-request.timeTypeIDs",0,*,"",""
"getallperformers-request","getallperformers-request.careTypeIDs","getallperformers-request.careTypeIDs","","","",0,*,"","","","string {[]} {[]}
","Vårdtypsid för att begränsa svarslistan","Vårdtypsid för att begränsa svarslistan.
Ska stödjas av producent om GetAllCaretypes stödjs.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getallperformers-request.careTypeIDs",0,*,"",""
"getallperformers-request","getallperformers-request.subject-of-care","getallperformers-request.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren, för att begränsa/utöka svarslistan.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallperformers-request.subject_of_care",1,1,"",""
"getallperformers","getallperformers","getallperformers","","","",0,*,"","","","null {[]} {[]}
","GetAllPerformers","Logisk modell för tjänstekontraktet GetAllPerformers
(RIV-TA urn:riv:crm:scheduling:GetAllPerformers:1).
Representerar responsens informationsstruktur.
Tjänst för att hämta en lista över medarbetare i vårdprofessionen som är bokningsbara online hos angiven vårdenhet.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getallperformers","getallperformers.performerInfos","getallperformers.performerInfos","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lista med medarbetare","Lista med medarbetare (PerformerInfoType).
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getallperformers.performerInfos",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getallperformers","getallperformers.performerInfos.id","getallperformers.performerInfos.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getallperformers","getallperformers.performerInfos.extension","getallperformers.performerInfos.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getallperformers","getallperformers.performerInfos.modifierExtension","getallperformers.performerInfos.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getallperformers","getallperformers.performerInfos.performer","getallperformers.performerInfos.performer","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för bokningsbar medarbetare","HSA-id för bokningsbar medarbetare.
OBS: I schemat stavas fältet 'perfomer' (felstavning, issue id 19). FSH-modellen använder korrekt stavning.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallperformers.performerInfos.performer",1,1,"",""
"getallperformers","getallperformers.performerInfos.firstName","getallperformers.performerInfos.firstName","","","",1,1,"","","","string {[]} {[]}
","Medarbetarens förnamn","Medarbetarens förnamn.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallperformers.performerInfos.firstName",1,1,"",""
"getallperformers","getallperformers.performerInfos.lastName","getallperformers.performerInfos.lastName","","","",1,1,"","","","string {[]} {[]}
","Medarbetarens efternamn","Medarbetarens efternamn.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallperformers.performerInfos.lastName",1,1,"",""
"getallperformers","getallperformers.performerInfos.title","getallperformers.performerInfos.title","","","",0,1,"","","","string {[]} {[]}
","Medarbetarens titel","Medarbetarens titel.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getallperformers.performerInfos.title",0,1,"",""
"getalltimetypes-request","getalltimetypes-request","getalltimetypes-request","","","",0,*,"","","","null {[]} {[]}
","GetAllTimeTypes — Request","Logisk modell för requestparametrar i GetAllTimeTypes.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getalltimetypes-request","getalltimetypes-request.healthcare-facility","getalltimetypes-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getalltimetypes-request.healthcare_facility",1,1,"",""
"getalltimetypes-request","getalltimetypes-request.careTypeIDs","getalltimetypes-request.careTypeIDs","","","",0,*,"","","","string {[]} {[]}
","Vårdtypsidentitet för att begränsa sökningen","Vårdtypsidentitet för att begränsa sökningen.
Ska stödjas av producent om GetAllCaretypes stödjs.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getalltimetypes-request.careTypeIDs",0,*,"",""
"getalltimetypes-request","getalltimetypes-request.subject-of-care","getalltimetypes-request.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getalltimetypes-request.subject_of_care",1,1,"",""
"getalltimetypes","getalltimetypes","getalltimetypes","","","",0,*,"","","","null {[]} {[]}
","GetAllTimeTypes","Logisk modell för tjänstekontraktet GetAllTimeTypes
(RIV-TA urn:riv:crm:scheduling:GetAllTimeTypes:1).
Representerar responsens informationsstruktur.
Tjänsten hämtar alla tidstyper som kan användas vid nybokning hos angiven vårdenhet.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getalltimetypes","getalltimetypes.listOfTimeTypes","getalltimetypes.listOfTimeTypes","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lista med tillgängliga tidstyper","Lista med tillgängliga tidstyper (TimeTypeType).
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getalltimetypes.listOfTimeTypes",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getalltimetypes","getalltimetypes.listOfTimeTypes.id","getalltimetypes.listOfTimeTypes.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getalltimetypes","getalltimetypes.listOfTimeTypes.extension","getalltimetypes.listOfTimeTypes.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getalltimetypes","getalltimetypes.listOfTimeTypes.modifierExtension","getalltimetypes.listOfTimeTypes.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getalltimetypes","getalltimetypes.listOfTimeTypes.timeTypeName","getalltimetypes.listOfTimeTypes.timeTypeName","","","",1,1,"","","","string {[]} {[]}
","Namnet på tidstypen","Namnet på tidstypen att visas för användaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getalltimetypes.listOfTimeTypes.timeTypeName",1,1,"",""
"getalltimetypes","getalltimetypes.listOfTimeTypes.timeTypeId","getalltimetypes.listOfTimeTypes.timeTypeId","","","",1,1,"","","","string {[]} {[]}
","Identifierare för tidstypen","Identifierare för tidstypen (TimeTypeIDType).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getalltimetypes.listOfTimeTypes.timeTypeId",1,1,"",""
"getavailabledates-request","getavailabledates-request","getavailabledates-request","","","",0,*,"","","","null {[]} {[]}
","GetAvailableDates — Request","Logisk modell för requestparametrar i GetAvailableDates.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getavailabledates-request","getavailabledates-request.healthcare-facility","getavailabledates-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","Hsa-Id för mottagning/vårdenhet","Hsa-Id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabledates-request.healthcare_facility",1,1,"",""
"getavailabledates-request","getavailabledates-request.bookingId","getavailabledates-request.bookingId","","","",0,1,"","","","string {[]} {[]}
","Intern bokningsidentitet","Intern bokningsidentitet. Används för att indikera ombokning.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates-request.bookingId",0,1,"",""
"getavailabledates-request","getavailabledates-request.startDateInclusive","getavailabledates-request.startDateInclusive","","","",1,1,"","","","string {[]} {[]}
","Datum från och med (ÅÅÅÅMMDD)","Datum från och med för de lediga tider som skall sökas ut, på formatet ÅÅÅÅMMDD.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabledates-request.startDateInclusive",1,1,"",""
"getavailabledates-request","getavailabledates-request.endDateInclusive","getavailabledates-request.endDateInclusive","","","",1,1,"","","","string {[]} {[]}
","Datum till och med (ÅÅÅÅMMDD)","Datum till och med för de lediga tider som skall sökas ut, på formatet ÅÅÅÅMMDD.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabledates-request.endDateInclusive",1,1,"",""
"getavailabledates-request","getavailabledates-request.performer","getavailabledates-request.performer","","","",0,*,"","","","Identifier {[]} {[]}
","HSA-id för HoS-personal","HSA-id för HoS-personal.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getavailabledates-request.performer",0,*,"",""
